Number,Short Description,Change Environment,Requested By,Assigned To,Assignment Group,Service,State,Risk,Priority,Urgency,Impact,Created,Start Date,Closed,Reopen Count,Day,Time to Response Hours,Processing Time Hours,Total Time Hours,KPI_breach,Week
SR-0005698,Request access to learning and training portal,Complaint,Captain America,Captain America,Avengers,Service B,Closed,High,Critical,High,Medium,2025-03-04T06:43:00.000000,2025-03-04T11:43:00.000000,2025-03-04T17:43:00.000000,5,Tuesday,5.0,6.0,11.0,1,2025-10
SR-0005699,Request productivity software licence,Complaint,Captain America,Captain America,Avengers,Service B,Closed,High,Low,Low,Low,2025-03-04T18:25:28.000000,2025-03-04T23:25:28.000000,2025-03-06T14:25:28.000000,1,Tuesday,5.0,39.0,44.0,0,2025-10
SR-0005700,Request update of security configuration,Hardware,John Cena,John Cena,Matrix,Service B,Closed,High,Medium,Medium,Low,2025-03-04T14:38:57.000000,2025-03-04T17:38:57.000000,2025-03-05T21:38:57.000000,2,Tuesday,3.0,28.0,31.0,1,2025-10
SR-0005701,Request update to data retention settings,Hardware,Hulk,Hulk,Avengers,Service A,New,Medium,Critical,High,High,2025-03-04T14:27:48.000000,,,2,Tuesday,,,,0,2025-10
SR-0005702,Request shared calendar setup for team,Failure,Shang Chi,Shang Chi,Avengers II,Service A,Closed,Medium,Critical,High,High,2025-03-04T18:07:19.000000,2025-03-05T01:07:19.000000,2025-03-05T11:07:19.000000,1,Tuesday,7.0,10.0,17.0,1,2025-10
SR-0005703,Request change of default language settings,Access,Captain America,Captain America,Avengers,Service A,Closed,Low,Critical,High,High,2025-03-04T08:06:58.000000,2025-03-04T13:06:58.000000,2025-03-04T21:06:58.000000,2,Tuesday,5.0,8.0,13.0,1,2025-10
SR-0005704,Request increase of mailbox storage,Complaint,Iron Man,Iron Man,Avengers,Service A,Closed,Low,High,Medium,Medium,2025-03-04T06:23:39.000000,2025-03-04T09:23:39.000000,2025-03-05T03:23:39.000000,4,Tuesday,3.0,18.0,21.0,1,2025-10
SR-0005705,Request remote access to internal application,Facilities,Loki,Loki,Avengers,Service B,Closed,Medium,Critical,High,High,2025-03-04T11:43:27.000000,2025-03-04T16:43:27.000000,2025-03-05T02:43:27.000000,5,Tuesday,5.0,10.0,15.0,1,2025-10
SR-0005706,Request addition to email group,Facilities,Batman,Batman,Matrix,Service C,Closed,Low,Medium,Low,Medium,2025-03-04T04:17:43.000000,2025-03-04T07:17:43.000000,2025-03-05T02:17:43.000000,2,Tuesday,3.0,19.0,22.0,0,2025-10
SR-0005707,Request new project storage area,Complaint,Hulk,Hulk,Avengers,Service B,New,High,Critical,High,High,2025-03-04T19:06:42.000000,,,1,Tuesday,,,,0,2025-10
SR-0005708,Request setup of email forwarding rule,Complaint,Thor,Thor,Avengers,Service A,Closed,Low,Medium,Medium,Medium,2025-03-04T17:25:02.000000,2025-03-04T21:25:02.000000,2025-03-05T13:25:02.000000,3,Tuesday,4.0,16.0,20.0,0,2025-10
SR-0005709,Request new role assignment in business system,Access,Iron Man,Iron Man,Avengers,Service B,New,Low,Medium,Medium,Medium,2025-03-04T20:27:47.000000,,,2,Tuesday,,,,0,2025-10
SR-0005710,Request replacement of power adapter,Facilities,Captain Marvel,Captain Marvel,Avengers II,Service B,In Progress,Medium,Low,Low,Low,2025-03-04T20:41:43.000000,2025-03-05T00:41:43.000000,,0,Tuesday,4.0,,,0,2025-10
SR-0005711,Request temporary elevated permissions on device,Access,Loki,Loki,Avengers,Service C,Closed,High,Critical,High,High,2025-03-04T18:34:55.000000,2025-03-04T21:34:55.000000,2025-03-05T00:34:55.000000,4,Tuesday,3.0,3.0,6.0,0,2025-10
SR-0005712,Request remote access to internal application,Access,Captain America,Captain America,Avengers,Service A,Closed,Medium,Critical,High,High,2025-03-04T17:52:18.000000,2025-03-05T01:52:18.000000,2025-03-05T03:52:18.000000,0,Tuesday,8.0,2.0,10.0,0,2025-10
SR-0005713,Request access to source code repository,Facilities,Spiderman,Spiderman,Avengers II,Service B,Closed,High,Medium,Medium,Medium,2025-03-04T16:39:07.000000,2025-03-04T23:39:07.000000,2025-03-05T18:39:07.000000,4,Tuesday,7.0,19.0,26.0,0,2025-10
SR-0005714,Request access to internal information site,Complaint,Doctor Strange,Doctor Strange,Avengers II,Service B,On Hold,Medium,Medium,Medium,Low,2025-03-04T16:56:46.000000,,,2,Tuesday,,,,0,2025-10
SR-0005715,Request addition to email group,Access,Iron Man,Iron Man,Avengers,Service A,New,High,Medium,Low,Low,2025-03-04T10:43:09.000000,,,2,Tuesday,,,,0,2025-10
SR-0005716,Request creation of shared mailbox,Network,Shang Chi,Shang Chi,Avengers II,Service C,Closed,Medium,Medium,Low,Low,2025-03-04T10:58:15.000000,2025-03-04T18:58:15.000000,2025-03-05T20:58:15.000000,0,Tuesday,8.0,26.0,34.0,1,2025-10
SR-0005717,Request change of print settings,Network,Loki,Loki,Avengers,Service C,Closed,Low,Low,Low,Low,2025-03-04T17:28:08.000000,2025-03-04T19:28:08.000000,2025-03-07T07:28:08.000000,3,Tuesday,2.0,60.0,62.0,1,2025-10
SR-0005718,Request activation of additional login security,Network,Captain Marvel,Captain Marvel,Avengers II,Service A,New,High,Critical,High,High,2025-03-04T15:03:54.000000,,,2,Tuesday,,,,0,2025-10
SR-0005719,Request website allowance for business use,Data,Iron Man,Iron Man,Avengers,Service C,Closed,Low,Critical,High,High,2025-03-04T22:48:02.000000,2025-03-05T01:48:02.000000,2025-03-05T07:48:02.000000,1,Tuesday,3.0,6.0,9.0,1,2025-10
SR-0005720,Request new authentication device or token,Complaint,Shang Chi,Shang Chi,Avengers II,Service A,In Progress,High,High,High,High,2025-03-04T10:49:19.000000,2025-03-04T13:49:19.000000,,0,Tuesday,3.0,,,0,2025-10
SR-0005721,Request configuration change for application settings,Hardware,Hulk,Hulk,Avengers,Service B,Closed,Low,Medium,Medium,Medium,2025-03-04T04:42:25.000000,2025-03-04T11:42:25.000000,2025-03-05T18:42:25.000000,1,Tuesday,7.0,31.0,38.0,1,2025-10
SR-0005722,Request change of shared mailbox ownership,Network,Captain America,Captain America,Avengers,Service B,Closed,Medium,Medium,Medium,Medium,2025-03-04T23:02:53.000000,2025-03-05T05:02:53.000000,2025-03-06T12:02:53.000000,3,Tuesday,6.0,31.0,37.0,1,2025-10
SR-0005723,Request setup of test environment for application,Hardware,Loki,Loki,Avengers,Service B,New,Low,High,High,Medium,2025-03-04T08:04:33.000000,,,5,Tuesday,,,,0,2025-10
SR-0005724,Request access to secure printing features,Failure,Loki,Loki,Avengers,Service B,New,Medium,Medium,Medium,Low,2025-03-04T05:48:09.000000,,,3,Tuesday,,,,0,2025-10
SR-0005725,Request password assistance,Network,Hulk,Hulk,Avengers,Service A,Closed,High,Critical,High,High,2025-03-04T19:04:30.000000,2025-03-05T02:04:30.000000,2025-03-05T08:04:30.000000,2,Tuesday,7.0,6.0,13.0,1,2025-10
SR-0005726,Request access to data analysis tools,Access,Doctor Strange,Doctor Strange,Avengers II,Service C,Closed,Medium,Critical,High,High,2025-03-04T04:35:17.000000,2025-03-04T08:35:17.000000,2025-03-04T15:35:17.000000,5,Tuesday,4.0,7.0,11.0,1,2025-10
SR-0005727,Request upgrade to extended user profile,Failure,Captain Marvel,Captain Marvel,Avengers II,Service A,In Progress,Medium,High,High,Medium,2025-03-04T10:11:43.000000,2025-03-04T15:11:43.000000,,0,Tuesday,5.0,,,0,2025-10
SR-0005728,Request addition to email group,Network,Spiderman,Spiderman,Avengers II,Service A,In Progress,Low,Critical,High,High,2025-03-04T12:55:22.000000,2025-03-04T16:55:22.000000,,2,Tuesday,4.0,,,0,2025-10
SR-0005729,Request addition to email group,Software,Batman,Batman,Matrix,Service B,Closed,Low,High,High,High,2025-03-04T14:27:25.000000,2025-03-04T21:27:25.000000,2025-03-05T04:27:25.000000,3,Tuesday,7.0,7.0,14.0,0,2025-10
SR-0005730,Request upgrade to extended user profile,Failure,Hulk,Hulk,Avengers,Service C,Closed,Medium,Medium,Low,Medium,2025-03-04T18:48:10.000000,2025-03-04T23:48:10.000000,2025-03-05T17:48:10.000000,2,Tuesday,5.0,18.0,23.0,0,2025-10
SR-0005731,Request access to a shared resource,Facilities,Shang Chi,Shang Chi,Avengers II,Service C,Closed,High,Critical,High,Medium,2025-03-04T08:51:38.000000,2025-03-04T10:51:38.000000,2025-03-04T20:51:38.000000,5,Tuesday,2.0,10.0,12.0,1,2025-10
SR-0005732,Request new audio equipment for calls,Access,Thor,Thor,Avengers,Service A,Closed,Low,High,High,Medium,2025-03-04T13:02:58.000000,2025-03-04T15:02:58.000000,2025-03-04T22:02:58.000000,3,Tuesday,2.0,7.0,9.0,0,2025-10
SR-0005733,Request increase of mailbox storage,Complaint,Loki,Loki,Avengers,Service B,Closed,Low,Medium,Medium,Low,2025-03-04T10:54:25.000000,2025-03-04T13:54:25.000000,2025-03-05T14:54:25.000000,4,Tuesday,3.0,25.0,28.0,1,2025-10
SR-0005734,Request unblocking of specific email attachment type,Hardware,Batman,Batman,Matrix,Service B,Closed,High,Medium,Low,Medium,2025-03-04T22:50:26.000000,2025-03-05T04:50:26.000000,2025-03-05T17:50:26.000000,2,Tuesday,6.0,13.0,19.0,0,2025-10
SR-0005735,Request setup of test environment for application,Access,Spiderman,Spiderman,Avengers II,Service C,Closed,Medium,Low,Low,Low,2025-03-04T08:51:23.000000,2025-03-04T11:51:23.000000,2025-03-05T21:51:23.000000,4,Tuesday,3.0,34.0,37.0,0,2025-10
SR-0005736,Request guest network access,Failure,Captain America,Captain America,Avengers,Service C,New,Medium,Low,Low,Low,2025-03-04T17:41:19.000000,,,2,Tuesday,,,,0,2025-10
SR-0005737,Request installation of document editing tool,Complaint,Iron Man,Iron Man,Avengers,Service B,In Progress,Medium,High,High,High,2025-03-04T11:03:57.000000,2025-03-04T15:03:57.000000,,2,Tuesday,4.0,,,0,2025-10
SR-0005738,Request setup of network storage connection,Facilities,Captain America,Captain America,Avengers,Service A,Closed,High,Critical,High,High,2025-03-04T02:56:46.000000,2025-03-04T05:56:46.000000,2025-03-04T15:56:46.000000,0,Tuesday,3.0,10.0,13.0,1,2025-10
SR-0005739,Request creation of new phone line entry,Facilities,Hulk,Hulk,Avengers,Service A,New,Low,High,High,Low,2025-03-04T03:18:08.000000,,,2,Tuesday,,,,0,2025-10
SR-0005740,Request removal from email group,Failure,Iron Man,Iron Man,Avengers,Service C,Closed,Low,Medium,Low,Medium,2025-03-04T20:52:00.000000,2025-03-05T04:52:00.000000,2025-03-06T03:52:00.000000,2,Tuesday,8.0,23.0,31.0,0,2025-10
SR-0005741,Request access to business application,Access,Spiderman,Spiderman,Avengers II,Service A,Closed,High,Medium,Medium,Medium,2025-03-04T23:11:19.000000,2025-03-05T01:11:19.000000,2025-03-05T23:11:19.000000,1,Tuesday,2.0,22.0,24.0,0,2025-10
SR-0005742,Request setup of shared document library,Complaint,Loki,Loki,Avengers,Service C,Closed,Low,High,High,Medium,2025-03-04T04:35:19.000000,2025-03-04T06:35:19.000000,2025-03-05T00:35:19.000000,3,Tuesday,2.0,18.0,20.0,1,2025-10
SR-0005743,Request configuration of high-availability service,Network,Spiderman,Spiderman,Avengers II,Service B,Closed,Low,Medium,Medium,Medium,2025-03-04T19:40:41.000000,2025-03-05T02:40:41.000000,2025-03-06T07:40:41.000000,5,Tuesday,7.0,29.0,36.0,1,2025-10
SR-0005744,Request new authentication device or token,Facilities,Batman,Batman,Matrix,Service C,Closed,Low,Medium,Medium,Medium,2025-03-04T15:00:59.000000,2025-03-04T20:00:59.000000,2025-03-05T13:00:59.000000,2,Tuesday,5.0,17.0,22.0,0,2025-10
SR-0005745,Request device hardware upgrade,Facilities,Batman,Batman,Matrix,Service C,New,High,Medium,Medium,Medium,2025-03-04T20:25:47.000000,,,0,Tuesday,,,,0,2025-10
SR-0005746,Request printing access on office device,Failure,John Wick,John Wick,Matrix,Service C,Closed,Low,Medium,Medium,Medium,2025-03-04T01:27:18.000000,2025-03-04T04:27:18.000000,2025-03-05T07:27:18.000000,0,Tuesday,3.0,27.0,30.0,1,2025-10
SR-0005747,Request change of time zone settings for account,Software,Iron Man,Iron Man,Avengers,Service B,Closed,Low,Critical,High,High,2025-03-04T20:47:12.000000,2025-03-05T04:47:12.000000,2025-03-05T10:47:12.000000,0,Tuesday,8.0,6.0,14.0,1,2025-10
SR-0005748,Request setup of email forwarding rule,Hardware,Batman,Batman,Matrix,Service C,Closed,High,Medium,Low,Medium,2025-03-04T11:27:03.000000,2025-03-04T17:27:03.000000,2025-03-05T10:27:03.000000,4,Tuesday,6.0,17.0,23.0,0,2025-10
SR-0005749,Request creation of generic team login,Network,Doctor Strange,Doctor Strange,Avengers II,Service B,Closed,Medium,High,High,High,2025-03-04T16:49:40.000000,2025-03-04T18:49:40.000000,2025-03-05T17:49:40.000000,0,Tuesday,2.0,23.0,25.0,1,2025-10
SR-0005750,Request additional display equipment,Network,Shang Chi,Shang Chi,Avengers II,Service C,Closed,Medium,Medium,Medium,Medium,2025-03-04T20:42:15.000000,2025-03-05T01:42:15.000000,2025-03-06T11:42:15.000000,0,Tuesday,5.0,34.0,39.0,1,2025-10
SR-0005751,Request configuration of meeting room technology,Facilities,Hulk,Hulk,Avengers,Service C,Closed,High,Critical,High,High,2025-03-04T01:22:34.000000,2025-03-04T03:22:34.000000,2025-03-04T13:22:34.000000,4,Tuesday,2.0,10.0,12.0,1,2025-10
SR-0005752,Request setup of automatic absence notification,Hardware,Captain America,Captain America,Avengers,Service B,New,Low,High,High,High,2025-03-04T21:48:50.000000,,,3,Tuesday,,,,0,2025-10
SR-0005753,Request activation of network connection at workspace,Network,Loki,Loki,Avengers,Service A,Closed,High,High,High,Medium,2025-03-04T21:04:30.000000,2025-03-05T01:04:30.000000,2025-03-05T21:04:30.000000,2,Tuesday,4.0,20.0,24.0,1,2025-10
SR-0005754,Request change of time zone settings for account,Failure,Captain America,Captain America,Avengers,Service A,Closed,Low,Medium,Medium,Medium,2025-03-04T10:57:35.000000,2025-03-04T16:57:35.000000,2025-03-05T11:57:35.000000,4,Tuesday,6.0,19.0,25.0,0,2025-10
SR-0005755,Request access to archived information,Network,Thor,Thor,Avengers,Service B,New,High,Critical,Medium,High,2025-03-04T17:32:35.000000,,,3,Tuesday,,,,0,2025-10
SR-0005756,Request update of user contact information,Access,Doctor Strange,Doctor Strange,Avengers II,Service C,In Progress,Medium,Critical,High,High,2025-03-04T03:01:41.000000,2025-03-04T06:01:41.000000,,3,Tuesday,3.0,,,0,2025-10
SR-0005757,Request update of email signature settings,Facilities,John Wick,John Wick,Matrix,Service B,Closed,Medium,Medium,Low,Low,2025-03-04T16:14:48.000000,2025-03-04T20:14:48.000000,2025-03-05T11:14:48.000000,5,Tuesday,4.0,15.0,19.0,0,2025-10
SR-0005758,Request configuration of project-specific tools,Complaint,Shang Chi,Shang Chi,Avengers II,Service B,Closed,Medium,Medium,Medium,Medium,2025-03-04T05:35:55.000000,2025-03-04T13:35:55.000000,2025-03-05T16:35:55.000000,5,Tuesday,8.0,27.0,35.0,1,2025-10
SR-0005759,Request access to development resources,Complaint,Iron Man,Iron Man,Avengers,Service A,Closed,Low,Critical,High,High,2025-03-04T16:32:50.000000,2025-03-04T19:32:50.000000,2025-03-05T02:32:50.000000,2,Tuesday,3.0,7.0,10.0,1,2025-10
SR-0005760,Request configuration of high-availability service,Complaint,John Cena,John Cena,Matrix,Service A,Closed,Medium,Low,Low,Low,2025-03-04T21:13:05.000000,2025-03-04T23:13:05.000000,2025-03-07T18:13:05.000000,1,Tuesday,2.0,67.0,69.0,1,2025-10
SR-0005761,Request creation of shared collaboration space,Failure,Spiderman,Spiderman,Avengers II,Service C,Closed,High,High,Medium,Low,2025-03-04T10:43:42.000000,2025-03-04T14:43:42.000000,2025-03-05T04:43:42.000000,2,Tuesday,4.0,14.0,18.0,1,2025-10
SR-0005762,Request printing access on office device,Access,Doctor Strange,Doctor Strange,Avengers II,Service B,Closed,Low,High,High,Medium,2025-03-04T00:21:53.000000,2025-03-04T08:21:53.000000,2025-03-05T05:21:53.000000,5,Tuesday,8.0,21.0,29.0,1,2025-10
SR-0005763,Request access to document management tools,Facilities,Captain Marvel,Captain Marvel,Avengers II,Service B,Closed,Low,Medium,Low,Medium,2025-03-04T17:43:00.000000,2025-03-04T20:43:00.000000,2025-03-05T19:43:00.000000,5,Tuesday,3.0,23.0,26.0,0,2025-10
SR-0005764,Request update of email signature settings,Facilities,Thor,Thor,Avengers,Service A,Closed,High,Medium,Medium,Medium,2025-03-04T12:20:12.000000,2025-03-04T16:20:12.000000,2025-03-05T17:20:12.000000,1,Tuesday,4.0,25.0,29.0,1,2025-10
SR-0005765,Request adjustment of access permissions,Facilities,Batman,Batman,Matrix,Service C,Closed,Medium,Medium,Medium,Medium,2025-03-04T15:36:03.000000,2025-03-04T21:36:03.000000,2025-03-05T12:36:03.000000,5,Tuesday,6.0,15.0,21.0,0,2025-10
SR-0005766,Request removal from email group,Network,Captain America,Captain America,Avengers,Service C,In Progress,High,Critical,High,High,2025-03-04T05:06:27.000000,2025-03-04T08:06:27.000000,,0,Tuesday,3.0,,,0,2025-10
SR-0005767,Request shared calendar setup for team,Data,Captain Marvel,Captain Marvel,Avengers II,Service A,In Progress,High,Medium,Medium,Low,2025-03-04T02:16:52.000000,2025-03-04T07:16:52.000000,,1,Tuesday,5.0,,,0,2025-10
SR-0005768,Request creation of shared collaboration space,Failure,Iron Man,Iron Man,Avengers,Service B,Closed,Medium,High,High,Medium,2025-03-04T09:51:19.000000,2025-03-04T15:51:19.000000,2025-03-05T10:51:19.000000,3,Tuesday,6.0,19.0,25.0,1,2025-10
SR-0005769,Request installation of document editing tool,Complaint,Iron Man,Iron Man,Avengers,Service B,Closed,Medium,High,Medium,High,2025-03-04T21:37:08.000000,2025-03-04T23:37:08.000000,2025-03-05T13:37:08.000000,2,Tuesday,2.0,14.0,16.0,1,2025-10
SR-0005770,Request access to test environment data,Facilities,Captain America,Captain America,Avengers,Service C,Closed,High,Medium,Low,Medium,2025-03-04T18:08:59.000000,2025-03-05T01:08:59.000000,2025-03-06T07:08:59.000000,3,Tuesday,7.0,30.0,37.0,1,2025-10
SR-0005771,Request access to archived information,Facilities,Thor,Thor,Avengers,Service A,New,Medium,Critical,Medium,High,2025-03-04T19:38:52.000000,,,4,Tuesday,,,,0,2025-10
SR-0005772,Request creation of a technical service account,Network,Iron Man,Iron Man,Avengers,Service C,Closed,Medium,Critical,High,High,2025-03-04T12:48:58.000000,2025-03-04T20:48:58.000000,2025-03-04T23:48:58.000000,5,Tuesday,8.0,3.0,11.0,0,2025-10
SR-0005773,Request device hardware upgrade,Facilities,Iron Man,Iron Man,Avengers,Service A,Closed,High,Medium,Medium,Medium,2025-03-04T15:29:51.000000,2025-03-04T18:29:51.000000,2025-03-05T23:29:51.000000,2,Tuesday,3.0,29.0,32.0,1,2025-10
SR-0005774,Request change of user role in application,Access,Thor,Thor,Avengers,Service C,Closed,High,Low,Low,Low,2025-03-04T00:36:01.000000,2025-03-04T07:36:01.000000,2025-03-07T04:36:01.000000,0,Tuesday,7.0,69.0,76.0,1,2025-10
SR-0005775,Request guest network access,Access,John Cena,John Cena,Matrix,Service B,New,High,Medium,Low,Medium,2025-03-04T06:45:57.000000,,,2,Tuesday,,,,0,2025-10
SR-0005776,Request configuration of high-availability service,Failure,Captain America,Captain America,Avengers,Service B,Closed,Medium,Medium,Medium,Low,2025-03-04T06:42:16.000000,2025-03-04T12:42:16.000000,2025-03-05T02:42:16.000000,2,Tuesday,6.0,14.0,20.0,0,2025-10
SR-0005777,Request new workstation device,Facilities,Shang Chi,Shang Chi,Avengers II,Service A,Closed,High,Low,Low,Low,2025-03-04T18:45:00.000000,2025-03-04T21:45:00.000000,2025-03-05T22:45:00.000000,1,Tuesday,3.0,25.0,28.0,0,2025-10
SR-0005778,Request activation of network connection at workspace,Software,Captain America,Captain America,Avengers,Service B,New,High,Critical,High,High,2025-03-04T09:09:33.000000,,,2,Tuesday,,,,0,2025-10
SR-0005779,Request configuration update for communication tools,Failure,Doctor Strange,Doctor Strange,Avengers II,Service A,Closed,Medium,Medium,Medium,Low,2025-03-04T22:55:01.000000,2025-03-05T01:55:01.000000,2025-03-06T08:55:01.000000,3,Tuesday,3.0,31.0,34.0,1,2025-10
SR-0005780,Request access to remote working environment,Network,John Cena,John Cena,Matrix,Service A,In Progress,Medium,Medium,Medium,Medium,2025-03-04T14:15:48.000000,2025-03-04T19:15:48.000000,,0,Tuesday,5.0,,,0,2025-10
SR-0005781,Request creation of generic team login,Complaint,John Wick,John Wick,Matrix,Service C,Closed,High,Medium,Medium,Medium,2025-03-04T21:13:01.000000,2025-03-05T04:13:01.000000,2025-03-05T22:13:01.000000,0,Tuesday,7.0,18.0,25.0,0,2025-10
SR-0005782,Request setup of email on user device,Access,Captain America,Captain America,Avengers,Service A,New,Medium,Medium,Low,Medium,2025-03-04T21:42:19.000000,,,3,Tuesday,,,,0,2025-10
SR-0005783,Request configuration of backup for data area,Hardware,Hulk,Hulk,Avengers,Service B,Closed,High,Critical,High,High,2025-03-05T22:43:11.000000,2025-03-06T00:43:11.000000,2025-03-06T05:43:11.000000,5,Wednesday,2.0,5.0,7.0,1,2025-10
SR-0005784,Request password assistance,Network,Captain America,Captain America,Avengers,Service A,Closed,Medium,Critical,High,Medium,2025-03-05T08:24:14.000000,2025-03-05T13:24:14.000000,2025-03-05T23:24:14.000000,3,Wednesday,5.0,10.0,15.0,1,2025-10
SR-0005785,Request creation of generic team login,Network,Neo,Neo,Matrix,Service B,Closed,Low,Critical,High,High,2025-03-05T08:36:32.000000,2025-03-05T10:36:32.000000,2025-03-05T15:36:32.000000,1,Wednesday,2.0,5.0,7.0,1,2025-10
SR-0005786,Request new authentication device or token,Facilities,John Cena,John Cena,Matrix,Service C,Closed,Medium,High,High,Medium,2025-03-05T06:26:15.000000,2025-03-05T10:26:15.000000,2025-03-05T22:26:15.000000,2,Wednesday,4.0,12.0,16.0,1,2025-10
SR-0005787,Request update to monitoring or alerting settings,Data,Neo,Neo,Matrix,Service C,Closed,Low,Medium,Medium,Medium,2025-03-05T12:20:29.000000,2025-03-05T16:20:29.000000,2025-03-07T02:20:29.000000,5,Wednesday,4.0,34.0,38.0,1,2025-10
SR-0005788,Request access to test environment data,Failure,Hulk,Hulk,Avengers,Service C,On Hold,Low,Critical,Medium,High,2025-03-05T23:33:23.000000,,,1,Wednesday,,,,0,2025-10
SR-0005789,Request update of user contact information,Facilities,Shang Chi,Shang Chi,Avengers II,Service C,Closed,High,Medium,Medium,Low,2025-03-05T09:56:08.000000,2025-03-05T16:56:08.000000,2025-03-06T23:56:08.000000,3,Wednesday,7.0,31.0,38.0,1,2025-10
SR-0005790,Request access to internal help and knowledge portal,Data,Doctor Strange,Doctor Strange,Avengers II,Service B,New,High,High,Medium,High,2025-03-05T19:55:32.000000,,,4,Wednesday,,,,0,2025-10
SR-0005791,Request upgrade to extended user profile,Failure,Loki,Loki,Avengers,Service B,Closed,Low,Critical,High,High,2025-03-05T18:46:05.000000,2025-03-05T22:46:05.000000,2025-03-06T06:46:05.000000,2,Wednesday,4.0,8.0,12.0,1,2025-10
SR-0005792,Request addition to application access group,Access,Shang Chi,Shang Chi,Avengers II,Service A,Closed,Low,High,High,High,2025-03-05T21:34:15.000000,2025-03-06T01:34:15.000000,2025-03-06T08:34:15.000000,0,Wednesday,4.0,7.0,11.0,0,2025-10
SR-0005793,Request setup of test environment for application,Access,Hulk,Hulk,Avengers,Service B,Closed,Low,High,Medium,Low,2025-03-05T19:35:04.000000,2025-03-06T02:35:04.000000,2025-03-07T02:35:04.000000,2,Wednesday,7.0,24.0,31.0,1,2025-10
SR-0005794,Request creation of shared mailbox,Hardware,Iron Man,Iron Man,Avengers,Service A,Closed,High,Critical,High,High,2025-03-05T03:31:28.000000,2025-03-05T10:31:28.000000,2025-03-05T19:31:28.000000,2,Wednesday,7.0,9.0,16.0,1,2025-10
SR-0005795,Request external user account creation,Data,Hulk,Hulk,Avengers,Service A,Closed,Medium,Low,Low,Low,2025-03-05T19:40:27.000000,2025-03-06T02:40:27.000000,2025-03-07T21:40:27.000000,5,Wednesday,7.0,43.0,50.0,0,2025-10
SR-0005796,Request access to a shared resource,Facilities,Shang Chi,Shang Chi,Avengers II,Service C,New,Medium,Critical,High,High,2025-03-05T23:18:15.000000,,,5,Wednesday,,,,0,2025-10
SR-0005797,Request new workstation setup at workplace,Network,Hulk,Hulk,Avengers,Service B,Closed,Low,High,High,High,2025-03-05T19:37:26.000000,2025-03-06T03:37:26.000000,2025-03-06T10:37:26.000000,4,Wednesday,8.0,7.0,15.0,0,2025-10
SR-0005798,Request unblocking of specific email attachment type,Hardware,Captain America,Captain America,Avengers,Service A,Closed,Medium,Critical,High,Medium,2025-03-05T11:32:03.000000,2025-03-05T17:32:03.000000,2025-03-06T02:32:03.000000,3,Wednesday,6.0,9.0,15.0,1,2025-10
SR-0005799,Request shared calendar setup for team,Facilities,Iron Man,Iron Man,Avengers,Service B,New,Low,High,High,High,2025-03-05T09:00:47.000000,,,5,Wednesday,,,,0,2025-10
SR-0005800,Request setup of network storage connection,Software,Spiderman,Spiderman,Avengers II,Service C,Closed,Medium,Critical,High,High,2025-03-05T01:45:55.000000,2025-03-05T04:45:55.000000,2025-03-05T05:45:55.000000,0,Wednesday,3.0,1.0,4.0,0,2025-10
SR-0005801,Request website allowance for business use,Software,Loki,Loki,Avengers,Service A,Closed,High,Critical,High,Medium,2025-03-05T14:58:12.000000,2025-03-05T16:58:12.000000,2025-03-05T18:58:12.000000,0,Wednesday,2.0,2.0,4.0,0,2025-10
SR-0005802,Request access to document management tools,Failure,Doctor Strange,Doctor Strange,Avengers II,Service B,Closed,Low,High,High,Low,2025-03-05T01:24:50.000000,2025-03-05T08:24:50.000000,2025-03-06T01:24:50.000000,0,Wednesday,7.0,17.0,24.0,1,2025-10
SR-0005803,Request removal of unused virtual environment,Failure,Loki,Loki,Avengers,Service C,Closed,High,Medium,Low,Medium,2025-03-05T04:01:54.000000,2025-03-05T10:01:54.000000,2025-03-06T04:01:54.000000,2,Wednesday,6.0,18.0,24.0,0,2025-10
SR-0005804,Request device hardware upgrade,Facilities,Hulk,Hulk,Avengers,Service C,In Progress,Medium,Medium,Medium,Medium,2025-03-05T07:01:21.000000,2025-03-05T13:01:21.000000,,2,Wednesday,6.0,,,0,2025-10
SR-0005805,Request subscription to scheduled report,Complaint,Loki,Loki,Avengers,Service A,Closed,High,Critical,High,High,2025-03-05T08:16:09.000000,2025-03-05T12:16:09.000000,2025-03-05T21:16:09.000000,4,Wednesday,4.0,9.0,13.0,1,2025-10
SR-0005806,Request docking station setup,Network,Captain Marvel,Captain Marvel,Avengers II,Service C,Closed,High,Medium,Medium,Medium,2025-03-05T02:06:29.000000,2025-03-05T07:06:29.000000,2025-03-06T13:06:29.000000,2,Wednesday,5.0,30.0,35.0,1,2025-10
SR-0005807,Request creation of a technical service account,Data,Shang Chi,Shang Chi,Avengers II,Service B,Closed,Low,Low,Low,Low,2025-03-05T08:41:23.000000,2025-03-05T12:41:23.000000,2025-03-07T04:41:23.000000,1,Wednesday,4.0,40.0,44.0,0,2025-10
SR-0005808,Request access to development resources,Software,Captain America,Captain America,Avengers,Service B,Closed,Low,Medium,Medium,Medium,2025-03-05T06:38:27.000000,2025-03-05T12:38:27.000000,2025-03-06T19:38:27.000000,3,Wednesday,6.0,31.0,37.0,1,2025-10
SR-0005809,Request unblocking of specific email attachment type,Hardware,Thor,Thor,Avengers,Service B,Closed,Low,Critical,High,Medium,2025-03-05T06:05:33.000000,2025-03-05T13:05:33.000000,2025-03-05T16:05:33.000000,1,Wednesday,7.0,3.0,10.0,0,2025-10
