Number,Short Description,Change Environment,Requested By,Assigned To,Assignment Group,Service,Risk,Urgency,Impact,State,Priority,Created,Day,Start Date,Closed,Reopen Count,Time to Response Hours,Processing Time Hours,Total Time Hours,KPI_breach
CHG-0000237,Application log reviewed,Facilities,Iron Man,Iron Man,Avengers,Service D,High,Low,Low,Closed,Medium,2025-03-19T00:35:05.000000,Wednesday,2025-03-19T05:35:05.000000,2025-03-19T07:35:05.000000,0,5.0,2.0,7.0,0
CHG-0000238,System log settings updated,Network,Loki,Loki,Avengers,Service B,High,Low,Medium,Closed,Medium,2025-03-19T09:53:48.000000,Wednesday,2025-03-19T14:53:48.000000,2025-03-20T23:53:48.000000,0,5.0,33.0,38.0,1
CHG-0000239,Scheduled task created,Hardware,Loki,Loki,Avengers,Service E,High,High,Low,New,Medium,2025-03-20T06:11:05.000000,Thursday,,,5,0.0,0.0,0.0,0
CHG-0000240,Data import completed,Complaint,Spiderman,Spiderman,Avengers II,Service A,Low,High,Low,Closed,Medium,2025-03-21T01:22:06.000000,Friday,2025-03-21T05:22:06.000000,2025-03-22T07:22:06.000000,2,4.0,26.0,30.0,1
CHG-0000241,User group membership changed,Hardware,Hulk,Hulk,Avengers,Service E,Medium,High,Medium,Closed,Low,2025-03-21T13:34:19.000000,Friday,2025-03-21T21:34:19.000000,2025-03-23T04:34:19.000000,3,8.0,31.0,39.0,0
CHG-0000242,Service port changed,Network,Iron Man,Iron Man,Avengers,Service A,High,Low,High,Closed,High,2025-03-21T06:52:18.000000,Friday,2025-03-21T14:52:18.000000,2025-03-22T17:52:18.000000,1,8.0,27.0,35.0,1
CHG-0000243,User authentication method updated,Data,Thor,Thor,Avengers,Service A,Low,Medium,Low,Closed,Critical,2025-03-21T09:05:53.000000,Friday,2025-03-21T17:05:53.000000,2025-03-22T07:05:53.000000,0,8.0,14.0,22.0,1
CHG-0000244,Backup schedule updated,Software,Captain America,Captain America,Avengers,Service C,High,Medium,High,Closed,Medium,2025-03-22T09:07:41.000000,Saturday,2025-03-22T13:07:41.000000,2025-03-23T14:07:41.000000,1,4.0,25.0,29.0,1
CHG-0000245,User group membership changed,Complaint,Spiderman,Spiderman,Avengers II,Service D,High,High,High,Closed,High,2025-03-22T13:19:14.000000,Saturday,2025-03-22T20:19:14.000000,2025-03-24T07:19:14.000000,0,7.0,35.0,42.0,1
CHG-0000246,User authentication method updated,Access,Shang Chi,Shang Chi,Avengers II,Service B,Low,Low,Low,Closed,High,2025-03-23T15:23:23.000000,Sunday,2025-03-23T19:23:23.000000,2025-03-25T00:23:23.000000,0,4.0,29.0,33.0,1
CHG-0000247,Application deployed,Software,Jack Sparrow,Jack Sparrow,Matrix,Service C,High,Low,Medium,Closed,Medium,2025-03-23T10:10:54.000000,Sunday,2025-03-23T12:10:54.000000,2025-03-23T18:10:54.000000,4,2.0,6.0,8.0,0
CHG-0000248,User session reset,Complaint,Thor,Thor,Avengers,Service C,Medium,High,Low,Closed,High,2025-03-23T21:38:08.000000,Sunday,2025-03-24T00:38:08.000000,2025-03-24T12:38:08.000000,4,3.0,12.0,15.0,0
CHG-0000249,Device firmware updated,Facilities,Hulk,Hulk,Avengers,Service D,Low,Medium,Low,Closed,Medium,2025-03-23T02:38:53.000000,Sunday,2025-03-23T06:38:53.000000,2025-03-24T13:38:53.000000,4,4.0,31.0,35.0,1
CHG-0000250,User group membership changed,Network,Shang Chi,Shang Chi,Avengers II,Service B,Medium,Low,Medium,Closed,Medium,2025-03-24T06:25:50.000000,Monday,2025-03-24T14:25:50.000000,2025-03-25T14:25:50.000000,3,8.0,24.0,32.0,0
CHG-0000251,System update applied,Network,Loki,Loki,Avengers,Service B,High,High,Low,Closed,High,2025-03-24T17:14:19.000000,Monday,2025-03-24T23:14:19.000000,2025-03-25T21:14:19.000000,4,6.0,22.0,28.0,1
CHG-0000252,Software version upgraded,Data,Hulk,Hulk,Avengers,Service A,Medium,High,Low,Closed,High,2025-03-24T06:07:23.000000,Monday,2025-03-24T10:07:23.000000,2025-03-25T15:07:23.000000,3,4.0,29.0,33.0,1
CHG-0000253,Scheduled task created,Access,Thor,Thor,Avengers,Service D,Medium,Medium,High,Closed,Medium,2025-03-24T16:09:22.000000,Monday,2025-03-25T00:09:22.000000,2025-03-26T11:09:22.000000,5,8.0,35.0,43.0,1
CHG-0000254,System resource increased,Complaint,Jack Sparrow,Jack Sparrow,Matrix,Service D,Low,Low,High,Closed,Critical,2025-03-25T04:15:21.000000,Tuesday,2025-03-25T08:15:21.000000,2025-03-25T22:15:21.000000,2,4.0,14.0,18.0,1
CHG-0000255,System update applied,Complaint,Neo,Neo,Matrix,Service B,Low,High,Low,Closed,Low,2025-03-26T05:46:36.000000,Wednesday,2025-03-26T12:46:36.000000,2025-03-27T11:46:36.000000,2,7.0,23.0,30.0,0
CHG-0000256,Device monitoring enabled,Network,Shang Chi,Shang Chi,Avengers II,Service A,High,Medium,Medium,Closed,Medium,2025-03-27T11:03:37.000000,Thursday,2025-03-27T14:03:37.000000,2025-03-27T18:03:37.000000,5,3.0,4.0,7.0,0
CHG-0000257,Password policy updated,Hardware,Thor,Thor,Avengers,Service A,Medium,Low,Medium,Closed,High,2025-03-28T03:17:40.000000,Friday,2025-03-28T08:17:40.000000,2025-03-29T08:17:40.000000,4,5.0,24.0,29.0,1
CHG-0000258,User group membership changed,Failure,Shang Chi,Shang Chi,Avengers II,Service B,High,Low,Low,Closed,High,2025-03-28T10:38:21.000000,Friday,2025-03-28T15:38:21.000000,2025-03-29T11:38:21.000000,4,5.0,20.0,25.0,1
CHG-0000259,Application deployed,Data,Shang Chi,Shang Chi,Avengers II,Service D,High,High,Low,Closed,Medium,2025-03-28T00:05:08.000000,Friday,2025-03-28T02:05:08.000000,2025-03-28T07:05:08.000000,0,2.0,5.0,7.0,0
CHG-0000260,Scheduled job modified,Failure,Doctor Strange,Doctor Strange,Avengers II,Service C,Low,Low,High,Closed,High,2025-03-28T11:20:30.000000,Friday,2025-03-28T16:20:30.000000,2025-03-29T13:20:30.000000,3,5.0,21.0,26.0,1
CHG-0000261,User group membership changed,Complaint,Captain America,Captain America,Avengers,Service E,Low,High,High,In Progress,Critical,2025-03-29T16:50:54.000000,Saturday,2025-03-30T00:50:54.000000,,4,8.0,0.0,0.0,0
CHG-0000262,Data import completed,Complaint,Spiderman,Spiderman,Avengers II,Service A,Medium,Medium,High,Closed,Critical,2025-03-29T21:04:49.000000,Saturday,2025-03-30T05:04:49.000000,2025-03-31T05:04:49.000000,1,8.0,24.0,32.0,1
CHG-0000263,Service status checked,Facilities,Captain Marvel,Captain Marvel,Avengers II,Service E,Low,Low,Low,Closed,High,2025-03-29T10:44:34.000000,Saturday,2025-03-29T15:44:34.000000,2025-03-30T07:44:34.000000,4,5.0,16.0,21.0,0
CHG-0000264,System notification configured,Failure,Batman,Batman,Matrix,Service B,Medium,High,High,Closed,Medium,2025-03-29T02:01:23.000000,Saturday,2025-03-29T04:01:23.000000,2025-03-29T17:01:23.000000,1,2.0,13.0,15.0,0
CHG-0000265,Service status checked,Failure,Hulk,Hulk,Avengers,Service E,Low,Low,Low,Closed,Medium,2025-03-29T09:14:20.000000,Saturday,2025-03-29T12:14:20.000000,2025-03-30T13:14:20.000000,3,3.0,25.0,28.0,1
CHG-0000266,Alert threshold changed,Hardware,Hulk,Hulk,Avengers,Service A,Low,Low,High,Closed,High,2025-03-30T09:55:10.000000,Sunday,2025-03-30T16:55:10.000000,2025-03-30T18:55:10.000000,1,7.0,2.0,9.0,0
CHG-0000267,Resource allocation changed,Complaint,Hulk,Hulk,Avengers,Service E,High,Medium,Medium,Closed,Medium,2025-03-30T23:50:55.000000,Sunday,2025-03-31T03:50:55.000000,2025-04-01T02:50:55.000000,4,4.0,23.0,27.0,0
CHG-0000268,User permissions modified,Data,Loki,Loki,Avengers,Service E,High,High,High,Closed,Medium,2025-03-30T20:58:49.000000,Sunday,2025-03-31T02:58:49.000000,2025-04-01T11:58:49.000000,1,6.0,33.0,39.0,1
CHG-0000269,Service dependency changed,Failure,Loki,Loki,Avengers,Service A,Low,Low,High,Closed,Medium,2025-03-30T16:04:41.000000,Sunday,2025-03-30T18:04:41.000000,2025-03-31T15:04:41.000000,3,2.0,21.0,23.0,0
CHG-0000270,Service integration updated,Network,Captain America,Captain America,Avengers,Service B,Medium,Medium,Low,Closed,High,2025-03-30T01:00:00.000000,Sunday,2025-03-30T05:00:00.000000,2025-03-31T11:00:00.000000,4,4.0,30.0,34.0,1
CHG-0000271,User password reset,Access,Iron Man,Iron Man,Avengers,Service A,High,Medium,Medium,In Progress,Medium,2025-03-31T17:51:01.000000,Monday,2025-03-31T21:51:01.000000,,2,4.0,0.0,0.0,0
CHG-0000272,System role assigned,Access,Loki,Loki,Avengers,Service D,Low,Low,High,New,High,2025-03-31T05:11:29.000000,Monday,,,4,0.0,0.0,0.0,0
CHG-0000273,Password policy updated,Access,Batman,Batman,Matrix,Service C,Low,Low,Medium,Closed,High,2025-04-01T11:45:21.000000,Tuesday,2025-04-01T14:45:21.000000,2025-04-02T03:45:21.000000,3,3.0,13.0,16.0,0
CHG-0000274,Device added to network,Failure,Thor,Thor,Avengers,Service A,Medium,Medium,High,Closed,Medium,2025-04-01T13:37:53.000000,Tuesday,2025-04-01T18:37:53.000000,2025-04-02T00:37:53.000000,4,5.0,6.0,11.0,0
CHG-0000275,Password policy updated,Complaint,Captain Marvel,Captain Marvel,Avengers II,Service B,Medium,High,Medium,Closed,Medium,2025-04-01T16:15:22.000000,Tuesday,2025-04-01T22:15:22.000000,2025-04-02T03:15:22.000000,4,6.0,5.0,11.0,0
CHG-0000276,Application log reviewed,Facilities,Captain America,Captain America,Avengers,Service A,High,High,Low,On Hold,Medium,2025-04-02T19:13:15.000000,Wednesday,,,5,0.0,0.0,0.0,0
CHG-0000277,Network settings adjusted,Network,Iron Man,Iron Man,Avengers,Service C,High,Medium,Medium,Closed,Medium,2025-04-02T00:11:49.000000,Wednesday,2025-04-02T06:11:49.000000,2025-04-02T15:11:49.000000,1,6.0,9.0,15.0,0
CHG-0000278,Routine maintenance performed,Failure,Doctor Strange,Doctor Strange,Avengers II,Service B,Medium,High,Medium,Closed,Medium,2025-04-03T10:40:51.000000,Thursday,2025-04-03T17:40:51.000000,2025-04-05T04:40:51.000000,0,7.0,35.0,42.0,1
CHG-0000279,User authentication method updated,Access,Captain America,Captain America,Avengers,Service B,High,High,High,Closed,Low,2025-04-03T11:43:11.000000,Thursday,2025-04-03T18:43:11.000000,2025-04-04T04:43:11.000000,2,7.0,10.0,17.0,0
CHG-0000280,Data import completed,Complaint,Captain Marvel,Captain Marvel,Avengers II,Service E,Low,High,Medium,Closed,Medium,2025-04-04T16:48:10.000000,Friday,2025-04-04T23:48:10.000000,2025-04-06T10:48:10.000000,1,7.0,35.0,42.0,1
CHG-0000281,Application deployed,Complaint,Spiderman,Spiderman,Avengers II,Service E,High,Medium,High,Closed,Medium,2025-04-04T03:48:32.000000,Friday,2025-04-04T05:48:32.000000,2025-04-04T15:48:32.000000,3,2.0,10.0,12.0,0
CHG-0000282,Security settings updated,Software,Shang Chi,Shang Chi,Avengers II,Service D,Low,Medium,Low,Closed,Low,2025-04-05T05:42:59.000000,Saturday,2025-04-05T07:42:59.000000,2025-04-06T15:42:59.000000,5,2.0,32.0,34.0,0
CHG-0000283,Backup schedule updated,Hardware,Shang Chi,Shang Chi,Avengers II,Service A,Low,High,Low,Closed,Critical,2025-04-05T03:48:39.000000,Saturday,2025-04-05T10:48:39.000000,2025-04-05T22:48:39.000000,2,7.0,12.0,19.0,1
CHG-0000284,System role assigned,Network,Neo,Neo,Matrix,Service E,High,Low,Medium,Closed,High,2025-04-05T01:25:09.000000,Saturday,2025-04-05T04:25:09.000000,2025-04-06T10:25:09.000000,5,3.0,30.0,33.0,1
CHG-0000285,Alert threshold changed,Facilities,Doctor Strange,Doctor Strange,Avengers II,Service B,Medium,Low,High,Closed,Medium,2025-04-05T16:14:02.000000,Saturday,2025-04-05T20:14:02.000000,2025-04-06T10:14:02.000000,3,4.0,14.0,18.0,0
CHG-0000286,Device added to network,Software,Doctor Strange,Doctor Strange,Avengers II,Service E,Low,Low,Low,Closed,Medium,2025-04-06T22:35:56.000000,Sunday,2025-04-07T06:35:56.000000,2025-04-08T11:35:56.000000,4,8.0,29.0,37.0,1
CHG-0000287,System notification configured,Facilities,Captain Marvel,Captain Marvel,Avengers II,Service C,Low,Low,High,Closed,Low,2025-04-06T18:46:23.000000,Sunday,2025-04-06T22:46:23.000000,2025-04-07T00:46:23.000000,4,4.0,2.0,6.0,0
CHG-0000288,System resource increased,Access,Captain Marvel,Captain Marvel,Avengers II,Service A,Medium,Medium,Low,Closed,Medium,2025-04-06T07:41:57.000000,Sunday,2025-04-06T13:41:57.000000,2025-04-07T04:41:57.000000,4,6.0,15.0,21.0,0
CHG-0000289,User authentication method updated,Facilities,Loki,Loki,Avengers,Service C,High,High,Medium,Closed,Medium,2025-04-07T05:50:22.000000,Monday,2025-04-07T10:50:22.000000,2025-04-08T16:50:22.000000,1,5.0,30.0,35.0,1
CHG-0000290,Device monitoring enabled,Hardware,Shang Chi,Shang Chi,Avengers II,Service B,Low,Medium,Low,Closed,Medium,2025-04-07T02:11:32.000000,Monday,2025-04-07T09:11:32.000000,2025-04-08T16:11:32.000000,1,7.0,31.0,38.0,1
CHG-0000291,Device added to network,Network,Doctor Strange,Doctor Strange,Avengers II,Service A,High,Low,Low,Closed,High,2025-04-07T16:04:56.000000,Monday,2025-04-07T18:04:56.000000,2025-04-08T04:04:56.000000,3,2.0,10.0,12.0,0
CHG-0000292,User profile updated,Complaint,Loki,Loki,Avengers,Service E,Low,High,Low,Closed,Medium,2025-04-07T15:26:04.000000,Monday,2025-04-07T19:26:04.000000,2025-04-08T02:26:04.000000,1,4.0,7.0,11.0,0
CHG-0000293,Application configuration changed,Software,Batman,Batman,Matrix,Service A,Low,High,Low,In Progress,High,2025-04-07T06:17:21.000000,Monday,2025-04-07T08:17:21.000000,,4,2.0,0.0,0.0,0
CHG-0000294,System notification configured,Software,Captain America,Captain America,Avengers,Service E,Low,Medium,Medium,Closed,High,2025-04-08T11:43:41.000000,Tuesday,2025-04-08T17:43:41.000000,2025-04-09T02:43:41.000000,3,6.0,9.0,15.0,0
CHG-0000295,Service status checked,Software,Loki,Loki,Avengers,Service D,Medium,High,Medium,Closed,High,2025-04-08T09:33:14.000000,Tuesday,2025-04-08T11:33:14.000000,2025-04-09T22:33:14.000000,1,2.0,35.0,37.0,1
CHG-0000296,Data retention policy updated,Complaint,Thor,Thor,Avengers,Service C,Medium,Medium,Low,Closed,Medium,2025-04-09T16:08:15.000000,Wednesday,2025-04-09T20:08:15.000000,2025-04-10T00:08:15.000000,2,4.0,4.0,8.0,0
CHG-0000297,Backup schedule updated,Complaint,Captain America,Captain America,Avengers,Service B,Medium,Low,Low,On Hold,Medium,2025-04-09T16:57:50.000000,Wednesday,,,4,0.0,0.0,0.0,0
CHG-0000298,User account updated,Hardware,Neo,Neo,Matrix,Service C,High,High,Low,Closed,Medium,2025-04-09T11:15:48.000000,Wednesday,2025-04-09T15:15:48.000000,2025-04-10T15:15:48.000000,5,4.0,24.0,28.0,0
CHG-0000299,Application deployed,Data,Jack Sparrow,Jack Sparrow,Matrix,Service A,High,High,High,Closed,Medium,2025-04-10T21:58:30.000000,Thursday,2025-04-11T00:58:30.000000,2025-04-11T10:58:30.000000,1,3.0,10.0,13.0,0
CHG-0000300,Device firmware updated,Software,Batman,Batman,Matrix,Service B,Medium,Medium,High,Closed,Medium,2025-04-10T22:31:03.000000,Thursday,2025-04-11T04:31:03.000000,2025-04-12T16:31:03.000000,2,6.0,36.0,42.0,1
CHG-0000301,System update applied,Failure,Hulk,Hulk,Avengers,Service B,Medium,Medium,Medium,Closed,High,2025-04-10T21:36:07.000000,Thursday,2025-04-11T01:36:07.000000,2025-04-11T14:36:07.000000,0,4.0,13.0,17.0,0
CHG-0000302,Data import completed,Complaint,Neo,Neo,Matrix,Service B,Medium,Low,Medium,Closed,Low,2025-04-10T10:34:31.000000,Thursday,2025-04-10T12:34:31.000000,2025-04-11T05:34:31.000000,5,2.0,17.0,19.0,0
CHG-0000303,Alert threshold changed,Failure,Loki,Loki,Avengers,Service B,Medium,High,Medium,Closed,Medium,2025-04-11T11:07:02.000000,Friday,2025-04-11T17:07:02.000000,2025-04-13T04:07:02.000000,1,6.0,35.0,41.0,1
CHG-0000304,Resource permissions changed,Software,Loki,Loki,Avengers,Service D,High,Medium,High,Closed,High,2025-04-12T17:34:22.000000,Saturday,2025-04-12T22:34:22.000000,2025-04-14T04:34:22.000000,4,5.0,30.0,35.0,1
CHG-0000305,User authentication method updated,Failure,Iron Man,Iron Man,Avengers,Service E,High,Medium,High,Closed,High,2025-04-12T18:02:37.000000,Saturday,2025-04-13T02:02:37.000000,2025-04-13T07:02:37.000000,4,8.0,5.0,13.0,0
CHG-0000306,Software version upgraded,Complaint,Spiderman,Spiderman,Avengers II,Service E,High,High,High,Closed,Medium,2025-04-12T06:05:33.000000,Saturday,2025-04-12T09:05:33.000000,2025-04-13T03:05:33.000000,0,3.0,18.0,21.0,0
CHG-0000307,User session reset,Access,Iron Man,Iron Man,Avengers,Service A,Medium,Low,Medium,Closed,Critical,2025-04-13T13:23:54.000000,Sunday,2025-04-13T20:23:54.000000,2025-04-15T02:23:54.000000,1,7.0,30.0,37.0,1
CHG-0000308,Database maintenance completed,Complaint,Thor,Thor,Avengers,Service E,High,Low,Low,Closed,Low,2025-04-13T23:57:28.000000,Sunday,2025-04-14T02:57:28.000000,2025-04-15T08:57:28.000000,2,3.0,30.0,33.0,0
CHG-0000309,System cache cleared,Data,Jack Sparrow,Jack Sparrow,Matrix,Service C,High,Low,Low,Closed,Medium,2025-04-14T04:09:51.000000,Monday,2025-04-14T09:09:51.000000,2025-04-14T11:09:51.000000,1,5.0,2.0,7.0,0
CHG-0000310,Resource allocation changed,Facilities,Jack Sparrow,Jack Sparrow,Matrix,Service A,Low,Low,Low,Closed,High,2025-04-14T13:37:45.000000,Monday,2025-04-14T21:37:45.000000,2025-04-15T16:37:45.000000,0,8.0,19.0,27.0,1
CHG-0000311,Application deployed,Failure,John Cena,John Cena,Matrix,Service A,High,Medium,Medium,Closed,High,2025-04-14T01:40:44.000000,Monday,2025-04-14T07:40:44.000000,2025-04-14T13:40:44.000000,0,6.0,6.0,12.0,0
CHG-0000312,System update applied,Hardware,Doctor Strange,Doctor Strange,Avengers II,Service C,Low,Low,Medium,Closed,Medium,2025-04-14T23:30:41.000000,Monday,2025-04-15T04:30:41.000000,2025-04-16T02:30:41.000000,0,5.0,22.0,27.0,0
CHG-0000313,System log settings updated,Access,Hulk,Hulk,Avengers,Service B,High,Medium,Low,Closed,Low,2025-04-14T00:05:58.000000,Monday,2025-04-14T03:05:58.000000,2025-04-15T06:05:58.000000,4,3.0,27.0,30.0,0
CHG-0000314,Service endpoint modified,Hardware,Batman,Batman,Matrix,Service C,Medium,Medium,Low,Closed,Medium,2025-04-15T09:48:44.000000,Tuesday,2025-04-15T14:48:44.000000,2025-04-15T18:48:44.000000,4,5.0,4.0,9.0,0
CHG-0000315,Device firmware updated,Complaint,Shang Chi,Shang Chi,Avengers II,Service B,High,Medium,High,Closed,Medium,2025-04-15T01:04:27.000000,Tuesday,2025-04-15T07:04:27.000000,2025-04-15T17:04:27.000000,1,6.0,10.0,16.0,0
CHG-0000316,Application license assigned,Data,Captain America,Captain America,Avengers,Service D,Medium,Low,Medium,Closed,Medium,2025-04-16T15:09:22.000000,Wednesday,2025-04-16T19:09:22.000000,2025-04-18T03:09:22.000000,3,4.0,32.0,36.0,1
CHG-0000317,System notification configured,Failure,Jack Sparrow,Jack Sparrow,Matrix,Service C,Low,Low,High,Closed,Low,2025-04-16T08:39:15.000000,Wednesday,2025-04-16T16:39:15.000000,2025-04-18T00:39:15.000000,0,8.0,32.0,40.0,0
CHG-0000318,System cache cleared,Hardware,Spiderman,Spiderman,Avengers II,Service D,High,Medium,Medium,Closed,High,2025-04-16T00:27:08.000000,Wednesday,2025-04-16T07:27:08.000000,2025-04-17T18:27:08.000000,0,7.0,35.0,42.0,1
CHG-0000319,Security settings updated,Access,Hulk,Hulk,Avengers,Service C,Medium,High,Medium,Closed,Medium,2025-04-16T06:12:24.000000,Wednesday,2025-04-16T13:12:24.000000,2025-04-17T19:12:24.000000,0,7.0,30.0,37.0,1
CHG-0000320,Data export scheduled,Complaint,Shang Chi,Shang Chi,Avengers II,Service A,Medium,Medium,Low,Closed,Medium,2025-04-16T14:16:56.000000,Wednesday,2025-04-16T18:16:56.000000,2025-04-17T08:16:56.000000,3,4.0,14.0,18.0,0
CHG-0000321,Device monitoring enabled,Hardware,Hulk,Hulk,Avengers,Service E,Low,Low,Medium,Closed,Medium,2025-04-17T17:29:02.000000,Thursday,2025-04-17T20:29:02.000000,2025-04-17T22:29:02.000000,1,3.0,2.0,5.0,0
CHG-0000322,Device removed from inventory,Complaint,Thor,Thor,Avengers,Service D,High,Medium,High,Closed,High,2025-04-18T04:01:08.000000,Friday,2025-04-18T09:01:08.000000,2025-04-18T20:01:08.000000,4,5.0,11.0,16.0,0
CHG-0000323,Monitoring rules adjusted,Complaint,Iron Man,Iron Man,Avengers,Service C,High,Low,Low,Closed,High,2025-04-18T02:53:24.000000,Friday,2025-04-18T09:53:24.000000,2025-04-19T20:53:24.000000,5,7.0,35.0,42.0,1
CHG-0000324,Resource permissions changed,Software,John Wick,John Wick,Matrix,Service B,Medium,High,Low,Closed,High,2025-04-18T02:40:52.000000,Friday,2025-04-18T09:40:52.000000,2025-04-19T01:40:52.000000,5,7.0,16.0,23.0,0
CHG-0000325,Network settings adjusted,Hardware,Shang Chi,Shang Chi,Avengers II,Service A,Low,Low,Low,Closed,High,2025-04-18T15:56:13.000000,Friday,2025-04-18T22:56:13.000000,2025-04-19T21:56:13.000000,2,7.0,23.0,30.0,1
CHG-0000326,Alert threshold changed,Network,Captain Marvel,Captain Marvel,Avengers II,Service B,High,High,High,Closed,Low,2025-04-18T04:20:02.000000,Friday,2025-04-18T07:20:02.000000,2025-04-18T22:20:02.000000,4,3.0,15.0,18.0,0
CHG-0000327,Access policy reviewed,Hardware,Loki,Loki,Avengers,Service A,Medium,High,High,Closed,Medium,2025-04-19T11:04:54.000000,Saturday,2025-04-19T13:04:54.000000,2025-04-20T05:04:54.000000,5,2.0,16.0,18.0,0
CHG-0000328,Device added to network,Complaint,Hulk,Hulk,Avengers,Service D,Low,High,Medium,Closed,High,2025-04-20T17:32:34.000000,Sunday,2025-04-20T22:32:34.000000,2025-04-21T18:32:34.000000,3,5.0,20.0,25.0,1
CHG-0000329,User password reset,Software,Iron Man,Iron Man,Avengers,Service D,Medium,Medium,Medium,Closed,Low,2025-04-20T00:17:28.000000,Sunday,2025-04-20T04:17:28.000000,2025-04-20T19:17:28.000000,5,4.0,15.0,19.0,0
CHG-0000330,Service dependency changed,Software,Jack Sparrow,Jack Sparrow,Matrix,Service E,Low,Medium,Low,Closed,Medium,2025-04-20T17:32:46.000000,Sunday,2025-04-21T01:32:46.000000,2025-04-22T12:32:46.000000,5,8.0,35.0,43.0,1
CHG-0000331,Application shortcut created,Facilities,Doctor Strange,Doctor Strange,Avengers II,Service C,Low,Low,Medium,Closed,Medium,2025-04-21T09:01:05.000000,Monday,2025-04-21T16:01:05.000000,2025-04-22T06:01:05.000000,5,7.0,14.0,21.0,0
CHG-0000332,Backup schedule updated,Software,Captain America,Captain America,Avengers,Service A,High,Low,High,Closed,Medium,2025-04-21T22:40:09.000000,Monday,2025-04-22T05:40:09.000000,2025-04-23T10:40:09.000000,1,7.0,29.0,36.0,1
CHG-0000333,Access policy reviewed,Facilities,Iron Man,Iron Man,Avengers,Service D,High,Medium,Medium,Closed,Medium,2025-04-21T02:12:23.000000,Monday,2025-04-21T06:12:23.000000,2025-04-21T21:12:23.000000,5,4.0,15.0,19.0,0
CHG-0000334,Routine maintenance performed,Network,Iron Man,Iron Man,Avengers,Service E,Low,Low,Medium,On Hold,High,2025-04-22T02:16:24.000000,Tuesday,,,2,0.0,0.0,0.0,0
CHG-0000335,Application access granted,Complaint,Captain Marvel,Captain Marvel,Avengers II,Service D,Medium,High,Low,On Hold,Medium,2025-04-22T04:24:13.000000,Tuesday,,,5,0.0,0.0,0.0,0
CHG-0000336,Data export scheduled,Complaint,Captain America,Captain America,Avengers,Service E,Medium,High,Medium,In Progress,High,2025-04-22T11:24:09.000000,Tuesday,2025-04-22T17:24:09.000000,,4,6.0,0.0,0.0,0
CHG-0000337,User account updated,Facilities,Captain Marvel,Captain Marvel,Avengers II,Service D,High,Low,High,Closed,High,2025-04-23T10:04:09.000000,Wednesday,2025-04-23T16:04:09.000000,2025-04-23T23:04:09.000000,4,6.0,7.0,13.0,0
CHG-0000338,User password reset,Access,Captain America,Captain America,Avengers,Service B,High,High,Low,Closed,Medium,2025-04-23T22:20:13.000000,Wednesday,2025-04-24T04:20:13.000000,2025-04-25T12:20:13.000000,3,6.0,32.0,38.0,1
CHG-0000339,Scheduled task created,Hardware,Iron Man,Iron Man,Avengers,Service B,Low,High,Low,Closed,Medium,2025-04-23T21:46:55.000000,Wednesday,2025-04-24T00:46:55.000000,2025-04-25T10:46:55.000000,1,3.0,34.0,37.0,1
CHG-0000340,User authentication method updated,Data,Spiderman,Spiderman,Avengers II,Service E,High,Low,Medium,Closed,High,2025-04-23T21:42:55.000000,Wednesday,2025-04-24T00:42:55.000000,2025-04-24T15:42:55.000000,5,3.0,15.0,18.0,0
CHG-0000341,System update applied,Network,Shang Chi,Shang Chi,Avengers II,Service E,Low,Low,High,Closed,Critical,2025-04-24T08:14:03.000000,Thursday,2025-04-24T10:14:03.000000,2025-04-25T10:14:03.000000,5,2.0,24.0,26.0,1
CHG-0000342,Application configuration changed,Facilities,Doctor Strange,Doctor Strange,Avengers II,Service A,Low,Low,Medium,Closed,Medium,2025-04-24T14:15:16.000000,Thursday,2025-04-24T22:15:16.000000,2025-04-25T20:15:16.000000,1,8.0,22.0,30.0,0
CHG-0000343,Password policy updated,Complaint,Doctor Strange,Doctor Strange,Avengers II,Service D,Low,Low,Medium,Closed,High,2025-04-25T12:09:19.000000,Friday,2025-04-25T20:09:19.000000,2025-04-27T03:09:19.000000,1,8.0,31.0,39.0,1
CHG-0000344,Password policy updated,Network,Neo,Neo,Matrix,Service E,Low,High,High,On Hold,High,2025-04-25T00:08:50.000000,Friday,,,3,0.0,0.0,0.0,0
CHG-0000345,Application log reviewed,Software,Iron Man,Iron Man,Avengers,Service B,Low,Medium,Medium,Closed,Medium,2025-04-25T03:57:00.000000,Friday,2025-04-25T09:57:00.000000,2025-04-25T14:57:00.000000,1,6.0,5.0,11.0,0
CHG-0000346,Resource allocation changed,Software,Thor,Thor,Avengers,Service C,Medium,Low,High,Closed,Critical,2025-04-26T08:54:30.000000,Saturday,2025-04-26T13:54:30.000000,2025-04-26T15:54:30.000000,5,5.0,2.0,7.0,0
CHG-0000347,Device added to network,Hardware,Captain America,Captain America,Avengers,Service A,Medium,Medium,High,Closed,Low,2025-04-27T18:14:16.000000,Sunday,2025-04-28T00:14:16.000000,2025-04-29T05:14:16.000000,0,6.0,29.0,35.0,0
CHG-0000348,User profile updated,Hardware,Thor,Thor,Avengers,Service C,Low,Medium,High,In Progress,Medium,2025-04-27T13:26:44.000000,Sunday,2025-04-27T17:26:44.000000,,1,4.0,0.0,0.0,0
CHG-0000349,User session reset,Network,Thor,Thor,Avengers,Service D,High,Low,Low,In Progress,Low,2025-04-27T07:15:08.000000,Sunday,2025-04-27T11:15:08.000000,,4,4.0,0.0,0.0,0
