Number,Short Description,Change Environment,Requested By,Assigned To,Assignment Group,Service,State,Risk,Priority,Urgency,Impact,Created,Start Date,Closed,Reopen Count,Day,Reopen Zero Flag,Time to Response Hours,Processing Time Hours,Total Time Hours,KPI_breach
CR-5864,Security policy violation on mobile device,Facilities,Michal,Martin,Matrix,Service A,Closed,High,Low,Medium,Low,2025-02-27T04:40:07.000000,2025-02-27T09:18:23.000000,2025-02-27T11:43:51.000000,1,Thursday,0,4.637777777777778,2.4244444444444446,7.062222222222222,0
CR-5865,Firewall detected and blocked port scanning activity,Access,Martin,Jan,Avengers,Service B,Closed,High,High,High,High,2025-02-27T06:29:38.000000,2025-02-27T13:36:29.000000,2025-02-28T13:20:14.000000,1,Thursday,0,7.114166666666667,23.729166666666668,30.843333333333334,1
CR-5866,Unusual file encryption activity detected on server,Complaint,Peter,Martin,Avengers,Service B,New,High,Medium,High,Low,2025-02-27T13:42:39.000000,,,0,Thursday,1,0.0,0.0,0.0,0
CR-5867,External IP added to whitelist without approval,Hardware,Iron Man,Peter,Avengers II,Service C,Closed,Low,Low,Medium,High,2025-02-27T06:10:18.000000,2025-02-27T08:23:40.000000,2025-02-28T00:56:35.000000,0,Thursday,1,2.222777777777778,16.54861111111111,18.77138888888889,0
CR-5868,Phishing email reported by employee,Network,Captain America,Captain America,Matrix,Service C,In Progress,Medium,Medium,High,Low,2025-02-27T15:33:02.000000,2025-02-27T21:52:07.000000,,0,Thursday,1,6.3180555555555555,0.0,0.0,0
CR-5869,New privileged account created without proper approval,Failure,Martin,Thor,Avengers,Service C,Closed,High,Low,High,Medium,2025-02-27T20:25:13.000000,2025-02-28T05:19:31.000000,2025-03-02T01:11:54.000000,1,Thursday,0,8.905,43.87305555555555,52.778055555555554,0
CR-5870,Privileged user access review identified anomalies,Network,Thor,Martin,Avengers II,Service A,Closed,High,High,Medium,High,2025-02-27T04:47:37.000000,2025-02-27T05:59:59.000000,2025-02-27T13:46:33.000000,0,Thursday,1,1.2061111111111111,7.776111111111111,8.982222222222223,0
CR-5871,Unusual data download volume from file server,Hardware,Jan,Martin,Avengers II,Service A,Closed,Medium,Medium,High,Medium,2025-02-27T18:00:40.000000,2025-02-27T21:45:37.000000,2025-03-01T13:18:23.000000,1,Thursday,0,3.7491666666666665,39.54611111111111,43.29527777777778,1
CR-5872,Multiple password reset requests from same user,Data,Iron Man,Iron Man,Avengers,Service A,Closed,Low,Medium,High,Low,2025-02-27T16:54:51.000000,2025-02-28T00:37:55.000000,2025-02-28T09:21:56.000000,1,Thursday,0,7.717777777777778,8.733611111111111,16.45138888888889,0
CR-5873,Firewall detected and blocked port scanning activity,Complaint,Captain America,Martin,Matrix,Service B,Closed,Medium,Medium,Medium,Low,2025-02-27T01:50:42.000000,2025-02-27T06:52:09.000000,2025-02-28T21:52:48.000000,1,Thursday,0,5.024166666666667,39.01083333333333,44.035,1
CR-5874,Privileged user access review identified anomalies,Network,Peter,Iron Man,Avengers II,Service C,Closed,High,Low,High,Medium,2025-02-27T07:57:56.000000,2025-02-27T11:07:08.000000,2025-02-28T05:38:34.000000,0,Thursday,1,3.1533333333333333,18.523888888888887,21.677222222222223,0
CR-5875,Multiple devices reporting same malware signature,Software,Martin,Iron Man,Avengers II,Service B,Closed,Low,High,Medium,Medium,2025-02-27T06:13:58.000000,2025-02-27T11:42:19.000000,2025-03-01T00:14:31.000000,0,Thursday,1,5.4725,36.53666666666667,42.009166666666665,1
CR-5876,Suspicious login attempt using expired credentials,Access,Peter,Thor,Avengers II,Service A,Closed,High,Medium,Medium,High,2025-02-27T09:52:54.000000,2025-02-27T16:33:17.000000,2025-02-28T15:03:15.000000,1,Thursday,0,6.673055555555556,22.499444444444446,29.1725,0
CR-5877,Malicious attachment blocked by email gateway,Data,Captain America,Iron Man,Matrix,Service C,Closed,Medium,High,High,High,2025-02-27T16:31:47.000000,2025-02-27T18:17:16.000000,2025-02-28T07:07:30.000000,1,Thursday,0,1.7580555555555555,12.837222222222222,14.595277777777778,1
CR-5878,Endpoint reported repeated blocked exploit attempts,Network,Iron Man,Peter,Avengers II,Service B,New,Low,High,Low,Medium,2025-02-27T08:29:18.000000,,,0,Thursday,1,0.0,0.0,0.0,0
CR-5879,New local administrator account detected on endpoint,Network,Martin,Captain America,Avengers,Service B,Closed,High,Low,Low,Medium,2025-02-27T16:14:42.000000,2025-02-27T22:07:42.000000,2025-03-01T01:43:01.000000,1,Thursday,0,5.883333333333334,27.58861111111111,33.471944444444446,0
CR-5880,Multiple devices reporting same malware signature,Hardware,Iron Man,Thor,Avengers II,Service B,Closed,High,Medium,Low,Medium,2025-02-27T14:45:37.000000,2025-02-27T21:09:04.000000,2025-02-28T20:12:23.000000,0,Thursday,1,6.390833333333333,23.05527777777778,29.44611111111111,0
CR-5881,Firewall detected and blocked port scanning activity,Hardware,Iron Man,Captain America,Matrix,Service C,Closed,Medium,High,Low,Low,2025-02-27T06:36:43.000000,2025-02-27T07:47:51.000000,2025-02-27T14:52:35.000000,0,Thursday,1,1.1855555555555555,7.078888888888889,8.264444444444445,0
CR-5882,Malicious macro detected in office document,Access,Thor,Thor,Avengers II,Service C,Closed,Low,Medium,High,High,2025-02-27T15:27:25.000000,2025-02-27T19:56:34.000000,2025-02-28T01:34:10.000000,1,Thursday,0,4.485833333333333,5.626666666666667,10.1125,0
CR-5883,Anomalous login pattern for service account,Facilities,Thor,Thor,Matrix,Service A,In Progress,Medium,Medium,Low,Low,2025-02-27T13:26:38.000000,2025-02-27T17:15:57.000000,,1,Thursday,0,3.8219444444444446,0.0,0.0,0
CR-5884,Unauthorized attempt to disable endpoint protection,Network,Thor,Iron Man,Avengers II,Service B,Closed,Low,Medium,High,Low,2025-02-27T01:02:07.000000,2025-02-27T05:57:11.000000,2025-02-28T17:53:28.000000,0,Thursday,1,4.917777777777777,35.93805555555556,40.85583333333334,1
CR-5885,Multiple failed login attempts detected on user account,Data,Jan,Peter,Avengers,Service C,Closed,Low,Low,High,High,2025-02-27T05:22:14.000000,2025-02-27T13:26:07.000000,2025-03-01T02:43:32.000000,0,Thursday,1,8.064722222222223,37.290277777777774,45.355,0
CR-5886,Multiple devices reporting same malware signature,Failure,Martin,Peter,Avengers II,Service C,Closed,High,Low,High,Medium,2025-02-27T15:22:00.000000,2025-02-27T22:46:06.000000,2025-03-01T14:53:20.000000,1,Thursday,0,7.401666666666666,40.120555555555555,47.522222222222226,0
CR-5887,Unsupported remote desktop tool detected on endpoint,Network,Martin,Martin,Avengers,Service B,In Progress,Medium,High,Medium,Low,2025-02-27T12:49:44.000000,2025-02-27T14:22:56.000000,,1,Thursday,0,1.5533333333333332,0.0,0.0,0
CR-5888,Access request to restricted application reviewed,Failure,Captain America,Thor,Matrix,Service C,Closed,Medium,High,Low,Medium,2025-02-27T22:31:06.000000,2025-02-28T06:10:17.000000,2025-03-01T11:11:25.000000,1,Thursday,0,7.6530555555555555,29.01888888888889,36.67194444444444,1
CR-5889,Abnormal outbound DNS requests from single host,Hardware,Thor,Thor,Matrix,Service A,New,Low,Low,Low,Low,2025-02-27T22:59:23.000000,,,0,Thursday,1,0.0,0.0,0.0,0
CR-5890,Email forwarding rule created without user knowledge,Complaint,Iron Man,Iron Man,Avengers,Service A,In Progress,High,Low,High,Medium,2025-02-27T15:09:57.000000,2025-02-27T20:16:55.000000,,1,Thursday,0,5.1161111111111115,0.0,0.0,0
CR-5891,External IP added to whitelist without approval,Failure,Jan,Peter,Matrix,Service C,Closed,High,Medium,High,Medium,2025-02-27T14:38:16.000000,2025-02-27T19:07:33.000000,2025-03-01T13:08:00.000000,1,Thursday,0,4.4880555555555555,42.0075,46.495555555555555,1
CR-5892,Certificate validation failure on secure connection,Data,Peter,Michal,Avengers II,Service C,In Progress,Medium,High,Medium,Medium,2025-02-27T01:19:29.000000,2025-02-27T05:50:02.000000,,1,Thursday,0,4.509166666666666,0.0,0.0,0
CR-5893,Suspicious modification of registry keys on workstation,Complaint,Martin,Iron Man,Avengers,Service A,Closed,High,Medium,Medium,Low,2025-02-27T01:17:03.000000,2025-02-27T06:04:39.000000,2025-02-28T08:59:06.000000,0,Thursday,1,4.793333333333333,26.9075,31.700833333333332,1
CR-5894,Compromised account password reset and user notified,Failure,Thor,Thor,Matrix,Service C,New,Medium,Medium,High,Low,2025-02-27T02:20:58.000000,,,0,Thursday,1,0.0,0.0,0.0,0
CR-5895,Endpoint antivirus detected and quarantined malware,Failure,Michal,Captain America,Avengers,Service A,Closed,High,High,Medium,Low,2025-02-27T10:39:51.000000,2025-02-27T14:19:37.000000,2025-03-01T10:57:46.000000,1,Thursday,0,3.662777777777778,44.63583333333333,48.298611111111114,1
CR-5896,Unauthorized installation of unapproved software,Data,Peter,Jan,Matrix,Service B,Closed,Low,High,Low,Low,2025-02-27T00:51:19.000000,2025-02-27T07:36:43.000000,2025-02-27T15:02:31.000000,0,Thursday,1,6.756666666666667,7.43,14.186666666666667,0
CR-5897,Unexpected configuration change on security appliance,Data,Jan,Thor,Matrix,Service A,Closed,High,High,Medium,Low,2025-02-27T02:05:46.000000,2025-02-27T08:13:49.000000,2025-02-28T16:45:20.000000,0,Thursday,1,6.134166666666666,32.52527777777778,38.659444444444446,1
CR-5898,Unauthorized attempt to access security logs,Software,Peter,Iron Man,Matrix,Service C,Closed,Low,Medium,Medium,Medium,2025-02-27T11:08:31.000000,2025-02-27T16:46:55.000000,2025-02-28T06:27:01.000000,0,Thursday,1,5.64,13.668333333333333,19.308333333333334,0
CR-5899,New network share created without change request,Hardware,Peter,Michal,Avengers,Service A,Closed,Medium,Medium,Low,Medium,2025-02-27T23:40:44.000000,2025-02-28T02:43:33.000000,2025-03-01T00:27:42.000000,0,Thursday,1,3.0469444444444442,21.735833333333332,24.782777777777778,0
CR-5900,Security policy violation on mobile device,Failure,Peter,Michal,Avengers II,Service C,Closed,Medium,Medium,Medium,Low,2025-02-27T07:56:19.000000,2025-02-27T14:41:41.000000,2025-02-28T10:49:32.000000,1,Thursday,0,6.756111111111111,20.13083333333333,26.886944444444445,0
CR-5901,Web proxy blocked access to high-risk website,Access,Martin,Michal,Avengers II,Service A,Closed,High,High,Medium,High,2025-02-27T11:13:36.000000,2025-02-27T16:55:58.000000,2025-02-28T04:31:05.000000,1,Thursday,0,5.706111111111111,11.585277777777778,17.29138888888889,1
CR-5902,Suspicious PowerShell activity detected on workstation,Facilities,Iron Man,Captain America,Matrix,Service C,Closed,Medium,Low,Low,Low,2025-02-27T15:57:08.000000,2025-02-27T22:02:57.000000,2025-02-28T11:03:25.000000,1,Thursday,0,6.0969444444444445,13.007777777777777,19.10472222222222,0
CR-5903,Ransomware behavior detected and contained on endpoint,Complaint,Michal,Captain America,Matrix,Service B,Closed,Medium,Low,Low,High,2025-02-27T13:18:47.000000,2025-02-27T17:38:22.000000,2025-02-28T02:29:03.000000,0,Thursday,1,4.326388888888889,8.844722222222222,13.171111111111111,0
CR-5904,Unusual data download volume from file server,Access,Michal,Captain America,Avengers,Service C,New,Low,Medium,Medium,Low,2025-02-27T08:43:54.000000,,,1,Thursday,0,0.0,0.0,0.0,0
CR-5905,Email forwarding rule created without user knowledge,Network,Martin,Thor,Matrix,Service B,Closed,Low,High,Medium,High,2025-02-27T23:11:34.000000,2025-02-28T04:59:52.000000,2025-03-01T19:09:19.000000,1,Thursday,0,5.805,38.1575,43.9625,1
CR-5906,Unauthorized attempt to disable endpoint protection,Hardware,Martin,Martin,Matrix,Service C,Closed,High,Low,Medium,High,2025-02-27T03:20:14.000000,2025-02-27T07:41:55.000000,2025-02-28T09:08:48.000000,0,Thursday,1,4.3613888888888885,25.448055555555555,29.809444444444445,0
CR-5907,Unauthorized attempt to disable endpoint protection,Facilities,Michal,Jan,Matrix,Service A,Closed,Low,Low,Medium,High,2025-02-27T04:23:50.000000,2025-02-27T11:04:04.000000,2025-03-01T02:43:40.000000,1,Thursday,0,6.670555555555556,39.66,46.330555555555556,0
CR-5908,New local administrator account detected on endpoint,Complaint,Captain America,Iron Man,Avengers II,Service A,Closed,Medium,Medium,Medium,Medium,2025-02-27T20:17:35.000000,2025-02-28T03:06:29.000000,2025-03-01T20:05:12.000000,1,Thursday,0,6.815,40.978611111111114,47.79361111111111,1
CR-5909,Unauthorized installation of unapproved software,Complaint,Jan,Peter,Avengers II,Service B,New,Medium,Low,Medium,Medium,2025-02-27T13:56:17.000000,,,1,Thursday,0,0.0,0.0,0.0,0
CR-5910,Unauthorized installation of unapproved software,Facilities,Thor,Martin,Matrix,Service B,Closed,Low,Low,High,Low,2025-02-27T03:55:04.000000,2025-02-27T09:38:17.000000,2025-02-28T02:28:06.000000,1,Thursday,0,5.720277777777778,16.830277777777777,22.550555555555555,0
CR-5911,Abnormal API access pattern from external client,Complaint,Thor,Thor,Avengers II,Service A,In Progress,High,Low,High,Medium,2025-02-27T02:18:28.000000,2025-02-27T03:41:04.000000,,1,Thursday,0,1.3766666666666667,0.0,0.0,0
CR-5912,Unusual traffic to anonymization service detected,Network,Peter,Captain America,Avengers II,Service A,New,Low,High,High,High,2025-02-27T02:55:06.000000,,,1,Thursday,0,0.0,0.0,0.0,0
CR-5913,Unusual spike in security alerts for single user,Access,Thor,Peter,Matrix,Service B,In Progress,Low,Medium,Low,Low,2025-02-27T06:51:52.000000,2025-02-27T10:28:40.000000,,1,Thursday,0,3.6133333333333333,0.0,0.0,0
CR-5914,Web proxy blocked access to high-risk website,Complaint,Peter,Jan,Avengers II,Service A,On Hold,High,High,Medium,High,2025-02-27T21:45:29.000000,,,0,Thursday,1,0.0,0.0,0.0,0
CR-5915,Unsupported remote desktop tool detected on endpoint,Software,Jan,Iron Man,Avengers,Service A,Closed,High,Medium,High,High,2025-02-27T10:23:28.000000,2025-02-27T15:06:25.000000,2025-02-28T18:42:01.000000,0,Thursday,1,4.715833333333333,27.593333333333334,32.30916666666667,1
CR-5916,Unexpected configuration change on security appliance,Failure,Michal,Martin,Avengers,Service C,Closed,High,Low,Medium,Low,2025-02-27T19:43:24.000000,2025-02-28T02:00:07.000000,2025-03-01T18:24:18.000000,0,Thursday,1,6.278611111111111,40.403055555555554,46.681666666666665,0
CR-5917,Endpoint antivirus detected and quarantined malware,Access,Thor,Michal,Avengers II,Service B,In Progress,Medium,High,High,High,2025-02-27T12:38:13.000000,2025-02-27T18:02:59.000000,,0,Thursday,1,5.4127777777777775,0.0,0.0,0
CR-5918,Denied attempt to access privileged management console,Access,Michal,Thor,Avengers II,Service C,Closed,High,Low,Low,High,2025-02-27T13:15:30.000000,2025-02-27T19:14:10.000000,2025-02-28T19:30:53.000000,1,Thursday,0,5.977777777777778,24.27861111111111,30.25638888888889,0
CR-5919,Privileged user access review identified anomalies,Network,Michal,Michal,Matrix,Service A,Closed,Medium,High,Medium,High,2025-02-27T12:20:55.000000,2025-02-27T17:16:27.000000,2025-02-28T17:48:27.000000,0,Thursday,1,4.9255555555555555,24.533333333333335,29.45888888888889,1
CR-5920,Unusual file encryption activity detected on server,Hardware,Martin,Thor,Matrix,Service B,Closed,Medium,Low,Medium,High,2025-02-27T04:31:30.000000,2025-02-27T10:30:28.000000,2025-02-28T12:33:35.000000,1,Thursday,0,5.982777777777778,26.051944444444445,32.03472222222222,0
CR-5921,Multiple password reset requests from same user,Access,Michal,Captain America,Matrix,Service A,Closed,High,Medium,Medium,Low,2025-02-27T16:25:15.000000,2025-02-27T22:22:55.000000,2025-03-01T06:39:36.000000,1,Thursday,0,5.961111111111111,32.278055555555554,38.23916666666667,1
CR-5922,Denied attempt to access privileged management console,Facilities,Captain America,Iron Man,Matrix,Service A,Closed,High,Medium,Low,Medium,2025-02-27T11:42:54.000000,2025-02-27T15:21:34.000000,2025-02-28T06:52:51.000000,1,Thursday,0,3.6444444444444444,15.52138888888889,19.16583333333333,0
CR-5923,Unusual access pattern to customer data records,Data,Jan,Martin,Avengers,Service C,Closed,Low,Low,Medium,High,2025-02-27T12:53:23.000000,2025-02-27T15:12:07.000000,2025-02-28T18:55:20.000000,1,Thursday,0,2.312222222222222,27.720277777777778,30.0325,0
CR-5924,Unauthorized attempt to access security logs,Access,Peter,Captain America,Avengers,Service C,Closed,Low,Low,Low,Medium,2025-02-27T14:33:36.000000,2025-02-27T18:37:41.000000,2025-02-28T00:37:43.000000,0,Thursday,1,4.0680555555555555,6.000555555555556,10.06861111111111,0
CR-5925,Abnormal API access pattern from external client,Access,Michal,Peter,Matrix,Service A,Closed,Medium,Low,Low,High,2025-02-27T17:44:51.000000,2025-02-27T22:37:00.000000,2025-02-28T14:23:29.000000,0,Thursday,1,4.869166666666667,15.774722222222222,20.64388888888889,0
CR-5926,Multiple logins from different countries within short timeframe,Data,Michal,Peter,Matrix,Service A,Closed,High,High,Medium,Low,2025-02-27T09:14:01.000000,2025-02-27T17:14:43.000000,2025-02-28T11:05:10.000000,1,Thursday,0,8.011666666666667,17.840833333333332,25.8525,1
CR-5927,Multiple password reset requests from same user,Software,Jan,Michal,Avengers,Service C,Closed,Low,Medium,Low,Low,2025-02-27T21:46:49.000000,2025-02-28T01:18:10.000000,2025-02-28T22:47:51.000000,0,Thursday,1,3.5225,21.494722222222222,25.017222222222223,0
CR-5928,Unusual spike in security alerts for single user,Hardware,Martin,Martin,Avengers II,Service A,Closed,Medium,Medium,Medium,High,2025-02-27T14:30:23.000000,2025-02-27T17:52:23.000000,2025-02-28T17:33:26.000000,1,Thursday,0,3.3666666666666667,23.684166666666666,27.050833333333333,0
CR-5929,Unapproved external USB storage device connected,Complaint,Thor,Iron Man,Matrix,Service B,Closed,High,Medium,High,High,2025-02-27T11:02:05.000000,2025-02-27T15:53:16.000000,2025-03-01T02:08:59.000000,1,Thursday,0,4.853055555555556,34.261944444444445,39.115,1
CR-5930,Attempted login using default system credentials,Hardware,Iron Man,Michal,Avengers,Service C,Closed,Medium,High,High,Medium,2025-02-27T21:59:36.000000,2025-02-28T06:13:11.000000,2025-03-01T04:09:52.000000,0,Thursday,1,8.22638888888889,21.94472222222222,30.17111111111111,1
CR-5931,Denied attempt to access privileged management console,Data,Peter,Michal,Avengers II,Service B,Closed,Medium,Low,High,Medium,2025-02-27T17:00:02.000000,2025-02-27T20:49:30.000000,2025-03-01T07:23:12.000000,1,Thursday,0,3.8244444444444445,34.56166666666667,38.38611111111111,0
CR-5932,Compromised account password reset and user notified,Failure,Michal,Martin,Avengers II,Service C,Closed,Low,High,Low,Low,2025-02-27T07:50:22.000000,2025-02-27T11:16:45.000000,2025-02-28T06:26:56.000000,0,Thursday,1,3.439722222222222,19.169722222222223,22.609444444444446,1
CR-5933,Unapproved remote access session initiated,Complaint,Jan,Captain America,Avengers,Service B,Closed,High,Low,High,Medium,2025-02-27T17:54:32.000000,2025-02-28T00:05:19.000000,2025-02-28T02:40:02.000000,0,Thursday,1,6.179722222222222,2.578611111111111,8.758333333333333,0
CR-5934,Access request to restricted application reviewed,Network,Michal,Martin,Avengers,Service A,Closed,Medium,High,High,Low,2025-02-27T18:29:28.000000,2025-02-27T19:32:43.000000,2025-02-28T02:09:41.000000,1,Thursday,0,1.0541666666666667,6.6161111111111115,7.670277777777778,0
CR-5935,Security policy violation on mobile device,Hardware,Iron Man,Captain America,Avengers,Service B,Closed,Medium,Medium,Low,Medium,2025-02-27T21:56:34.000000,2025-02-27T23:15:14.000000,2025-02-28T18:32:14.000000,0,Thursday,1,1.3111111111111111,19.283333333333335,20.594444444444445,0
CR-5936,Certificate validation failure on secure connection,Hardware,Michal,Captain America,Avengers,Service B,Closed,Low,Medium,Medium,High,2025-02-27T15:15:36.000000,2025-02-27T17:46:46.000000,2025-02-28T13:17:11.000000,1,Thursday,0,2.5194444444444444,19.506944444444443,22.02638888888889,0
CR-5937,Attempted login using default system credentials,Complaint,Thor,Jan,Avengers,Service C,Closed,Medium,High,Medium,Medium,2025-02-27T02:45:15.000000,2025-02-27T04:12:02.000000,2025-02-27T10:34:44.000000,1,Thursday,0,1.446388888888889,6.378333333333333,7.824722222222222,0
CR-5938,Unauthorized attempt to disable endpoint protection,Network,Jan,Captain America,Avengers,Service A,Closed,Low,Medium,Low,Medium,2025-02-27T06:41:12.000000,2025-02-27T08:16:03.000000,2025-02-27T21:35:26.000000,0,Thursday,1,1.5808333333333333,13.323055555555555,14.903888888888888,0
CR-5939,Firewall detected and blocked port scanning activity,Facilities,Jan,Thor,Avengers II,Service B,New,Medium,High,Low,Medium,2025-02-27T18:41:25.000000,,,0,Thursday,1,0.0,0.0,0.0,0
CR-5940,Unencrypted data transfer detected over public network,Complaint,Peter,Peter,Matrix,Service C,Closed,High,Low,Low,High,2025-02-28T18:43:23.000000,2025-03-01T01:28:17.000000,2025-03-02T18:16:39.000000,1,Friday,0,6.748333333333333,40.806111111111115,47.55444444444444,0
CR-5941,Suspicious PowerShell activity detected on workstation,Access,Captain America,Michal,Avengers II,Service B,Closed,Medium,High,Medium,High,2025-02-28T13:31:09.000000,2025-02-28T14:40:33.000000,2025-03-02T08:30:43.000000,0,Friday,1,1.1566666666666667,41.83611111111111,42.992777777777775,1
CR-5942,New local administrator account detected on endpoint,Facilities,Michal,Michal,Avengers,Service C,Closed,High,Medium,Medium,Low,2025-02-28T02:24:17.000000,2025-02-28T09:56:37.000000,2025-02-28T21:24:43.000000,1,Friday,0,7.538888888888889,11.468333333333334,19.00722222222222,0
CR-5943,Unusual file encryption activity detected on server,Software,Captain America,Iron Man,Avengers,Service A,Closed,Low,Low,High,High,2025-02-28T15:59:50.000000,2025-02-28T23:32:05.000000,2025-03-02T17:18:43.000000,0,Friday,1,7.5375,41.77722222222222,49.31472222222222,0
CR-5944,Blocked attempt to upload sensitive data to cloud storage,Hardware,Iron Man,Michal,Avengers,Service A,Closed,Medium,High,Medium,High,2025-02-28T05:48:29.000000,2025-02-28T11:03:20.000000,2025-03-01T03:31:03.000000,0,Friday,1,5.2475,16.461944444444445,21.709444444444443,1
CR-5945,Ransomware behavior detected and contained on endpoint,Complaint,Jan,Peter,Avengers II,Service A,Closed,Medium,High,High,Low,2025-02-28T19:55:30.000000,2025-03-01T04:11:28.000000,2025-03-01T13:14:35.000000,0,Friday,1,8.266111111111112,9.051944444444445,17.318055555555556,1
CR-5946,Unusual access pattern to customer data records,Complaint,Captain America,Thor,Avengers,Service B,Closed,Medium,High,High,Low,2025-02-28T22:39:28.000000,2025-03-01T06:27:33.000000,2025-03-02T01:25:54.000000,1,Friday,0,7.801388888888889,18.9725,26.773888888888887,1
CR-5947,New privileged account created without proper approval,Software,Iron Man,Martin,Matrix,Service A,Closed,Medium,Low,High,Medium,2025-02-28T09:15:21.000000,2025-02-28T14:17:20.000000,2025-03-01T02:06:02.000000,1,Friday,0,5.033055555555555,11.811666666666667,16.844722222222224,0
CR-5948,Unexpected configuration change on security appliance,Network,Michal,Jan,Avengers II,Service C,In Progress,Medium,Medium,High,Medium,2025-02-28T05:12:02.000000,2025-02-28T07:34:27.000000,,0,Friday,1,2.373611111111111,0.0,0.0,0
CR-5949,Abnormal API access pattern from external client,Hardware,Iron Man,Martin,Matrix,Service A,Closed,High,High,Low,Low,2025-02-28T19:10:51.000000,2025-02-28T22:33:55.000000,2025-03-01T10:43:05.000000,1,Friday,0,3.3844444444444446,12.152777777777779,15.537222222222223,1
CR-5950,Unexpected configuration change on security appliance,Hardware,Jan,Michal,Avengers II,Service A,Closed,High,Medium,Low,Medium,2025-02-28T04:59:19.000000,2025-02-28T11:23:37.000000,2025-03-01T14:18:59.000000,1,Friday,0,6.405,26.922777777777778,33.327777777777776,1
CR-5951,Suspicious outbound traffic to known malicious domain,Software,Thor,Iron Man,Matrix,Service B,Closed,Low,Low,Low,High,2025-02-28T20:06:46.000000,2025-03-01T04:20:36.000000,2025-03-01T08:42:09.000000,1,Friday,0,8.230555555555556,4.359166666666667,12.589722222222223,0
CR-5952,Unencrypted data transfer detected over public network,Network,Captain America,Peter,Matrix,Service B,Closed,Low,High,Low,Low,2025-02-28T14:15:44.000000,2025-02-28T23:12:35.000000,2025-03-01T04:57:29.000000,1,Friday,0,8.9475,5.748333333333333,14.695833333333333,0
CR-5953,Suspicious outbound traffic to known malicious domain,Data,Peter,Michal,Matrix,Service C,On Hold,Low,Medium,High,High,2025-02-28T11:32:04.000000,,,0,Friday,1,0.0,0.0,0.0,0
CR-5954,Access request to restricted application reviewed,Access,Peter,Jan,Avengers II,Service A,Closed,Low,Low,Medium,Medium,2025-02-28T11:44:20.000000,2025-02-28T12:48:38.000000,2025-03-01T07:07:45.000000,1,Friday,0,1.0716666666666668,18.31861111111111,19.39027777777778,0
CR-5955,Web proxy blocked access to high-risk website,Failure,Iron Man,Martin,Avengers,Service B,Closed,High,High,Medium,High,2025-02-28T15:28:13.000000,2025-02-28T20:02:21.000000,2025-03-01T13:07:50.000000,0,Friday,1,4.568888888888889,17.09138888888889,21.66027777777778,1
CR-5956,Phishing email reported by employee,Failure,Michal,Iron Man,Avengers,Service C,Closed,Medium,Medium,High,Medium,2025-02-28T08:23:41.000000,2025-02-28T13:49:07.000000,2025-03-01T03:08:53.000000,1,Friday,0,5.4238888888888885,13.329444444444444,18.753333333333334,0
CR-5957,Unapproved connection to third-party cloud service,Network,Peter,Jan,Matrix,Service B,Closed,High,High,Low,Low,2025-02-28T23:46:52.000000,2025-03-01T02:11:34.000000,2025-03-01T15:42:12.000000,1,Friday,0,2.4116666666666666,13.510555555555555,15.922222222222222,1
CR-5958,Malicious attachment blocked by email gateway,Facilities,Peter,Iron Man,Avengers,Service A,Closed,High,High,Low,High,2025-02-28T22:40:52.000000,2025-03-01T00:49:51.000000,2025-03-02T17:37:47.000000,0,Friday,1,2.149722222222222,40.79888888888889,42.94861111111111,1
CR-5959,Web proxy blocked access to high-risk website,Access,Martin,Thor,Avengers II,Service B,Closed,High,Low,Low,Low,2025-02-28T08:13:51.000000,2025-02-28T14:38:24.000000,2025-03-01T15:57:23.000000,1,Friday,0,6.409166666666667,25.316388888888888,31.725555555555555,0
CR-5960,Ransomware behavior detected and contained on endpoint,Complaint,Iron Man,Jan,Avengers II,Service A,Closed,Medium,Low,High,High,2025-02-28T00:33:48.000000,2025-02-28T04:09:38.000000,2025-03-01T23:06:23.000000,1,Friday,0,3.5972222222222223,42.94583333333333,46.543055555555554,0
CR-5961,Unsupported legacy protocol usage detected in network traffic,Data,Peter,Captain America,Avengers II,Service C,Closed,Low,Low,Medium,High,2025-02-28T22:19:39.000000,2025-03-01T03:00:13.000000,2025-03-02T02:44:52.000000,1,Friday,0,4.676111111111111,23.74416666666667,28.420277777777777,0
CR-5962,Unauthorized attempt to access security logs,Network,Martin,Martin,Matrix,Service B,Closed,High,High,Low,Medium,2025-02-28T21:21:31.000000,2025-03-01T04:35:36.000000,2025-03-02T04:46:24.000000,1,Friday,0,7.2347222222222225,24.18,31.41472222222222,1
CR-5963,Unusual file encryption activity detected on server,Facilities,Martin,Thor,Avengers II,Service B,Closed,Medium,High,Low,Medium,2025-02-28T16:01:40.000000,2025-02-28T19:59:45.000000,2025-03-01T19:27:54.000000,1,Friday,0,3.9680555555555554,23.469166666666666,27.43722222222222,1
CR-5964,Unusual traffic to anonymization service detected,Software,Captain America,Peter,Matrix,Service C,Closed,Medium,Low,High,High,2025-02-28T04:25:13.000000,2025-02-28T12:42:04.000000,2025-02-28T15:51:04.000000,0,Friday,1,8.280833333333334,3.15,11.430833333333334,0
CR-5965,Phishing email reported by employee,Software,Thor,Peter,Avengers II,Service C,Closed,Low,Medium,High,High,2025-02-28T00:34:04.000000,2025-02-28T03:26:46.000000,2025-02-28T06:01:12.000000,1,Friday,0,2.8783333333333334,2.573888888888889,5.452222222222222,0
