Number,Short Description,Change Environment,Requested By,Assigned To,Assignment Group,Service,State,Risk,Priority,Urgency,Impact,Created,Start Date,Closed,Reopen Count,Day,Reopen Zero Flag,Time to Response Hours,Processing Time Hours,Total Time Hours,KPI_breach,Week
CR-5440,Backup server unreachable: Error code 502.,Network,Captain America,Captain America,Avengers,Service C,Closed,Medium,Low,High,Low,2025-02-20T20:40:36.000000,2025-02-21T00:28:57.000000,2025-02-22T08:29:26.000000,1,Thursday,0,3.805833333333333,32.00805555555556,35.81388888888889,0,2025-08
CR-5441,Network congestion: High bandwidth usage flagged.,Failure,Martin,Iron Man,Avengers,Service B,Closed,Low,Medium,Low,Low,2025-02-20T07:00:23.000000,2025-02-20T11:36:14.000000,2025-02-22T02:15:49.000000,1,Thursday,0,4.5975,38.65972222222222,43.257222222222225,1,2025-08
CR-5442,User login failed: Account locked due to excessive login attempts.,Facilities,Jan,Thor,Avengers,Service B,Closed,Low,Medium,High,High,2025-02-20T14:44:03.000000,2025-02-20T22:04:19.000000,2025-02-21T21:52:40.000000,0,Thursday,1,7.337777777777778,23.805833333333332,31.14361111111111,0,2025-08
CR-5443,Antivirus disabled on workstation: Protection compromised.,Network,Iron Man,Martin,Avengers,Service C,Closed,Medium,High,High,Low,2025-02-20T15:20:15.000000,2025-02-20T18:56:15.000000,2025-02-21T19:05:33.000000,1,Thursday,0,3.6,24.155,27.755,1,2025-08
CR-5444,Unscheduled file deletion detected on shared drive.,Complaint,Martin,Thor,Avengers II,Service C,On Hold,High,Medium,Low,Low,2025-02-20T12:29:43.000000,,,1,Thursday,0,,,,0,2025-08
CR-5445,Antivirus disabled on workstation: Protection compromised.,Complaint,Jan,Peter,Avengers II,Service C,Closed,High,Medium,High,High,2025-02-20T09:29:29.000000,2025-02-20T17:44:17.000000,2025-02-21T15:40:44.000000,1,Thursday,0,8.246666666666666,21.940833333333334,30.1875,0,2025-08
CR-5446,Social engineering attempt flagged: Fake support request identified.,Facilities,Captain America,Jan,Avengers,Service B,Closed,High,High,Medium,High,2025-02-20T12:08:08.000000,2025-02-20T15:21:38.000000,2025-02-21T08:28:57.000000,1,Thursday,0,3.225,17.121944444444445,20.346944444444443,1,2025-08
CR-5447,Critical system alert: Root access attempted on production server.,Failure,Captain America,Jan,Avengers II,Service C,Closed,Medium,Medium,Medium,Low,2025-02-20T13:10:35.000000,2025-02-20T18:12:12.000000,2025-02-21T23:51:37.000000,1,Thursday,0,5.026944444444444,29.656944444444445,34.68388888888889,1,2025-08
CR-5448,Breach alert: Privileged credentials exposed.,Failure,Michal,Peter,Avengers II,Service A,On Hold,Medium,High,High,Low,2025-02-20T23:50:05.000000,,,1,Thursday,0,,,,0,2025-08
CR-5449,Power failure simulation triggered during red team activity.,Failure,Martin,Peter,Avengers II,Service B,Closed,High,Low,High,Low,2025-02-20T14:38:18.000000,2025-02-20T18:32:12.000000,2025-02-22T00:02:56.000000,0,Thursday,1,3.8983333333333334,29.51222222222222,33.410555555555554,0,2025-08
CR-5450,Power failure simulation triggered during red team activity.,Failure,Iron Man,Iron Man,Avengers II,Service C,Closed,Low,High,High,Medium,2025-02-20T21:49:45.000000,2025-02-21T06:16:21.000000,2025-02-21T16:51:40.000000,0,Thursday,1,8.443333333333333,10.588611111111112,19.031944444444445,1,2025-08
CR-5451,Failed cloud synchronization: Files cannot be uploaded.,Access,Martin,Captain America,Avengers II,Service C,Closed,Low,Medium,High,High,2025-02-20T06:57:29.000000,2025-02-20T14:22:39.000000,2025-02-21T20:55:34.000000,1,Thursday,0,7.419444444444444,30.54861111111111,37.96805555555556,1,2025-08
CR-5452,Unusual system reboot detected on DevOps environment.,Data,Thor,Michal,Avengers,Service B,Closed,High,High,High,High,2025-02-20T11:30:54.000000,2025-02-20T19:49:51.000000,2025-02-21T22:27:00.000000,1,Thursday,0,8.315833333333334,26.61916666666667,34.935,1,2025-08
CR-5453,Social engineering attempt flagged: Fake support request identified.,Complaint,Thor,Michal,Matrix,Service A,Closed,High,Medium,Low,Medium,2025-02-20T16:09:05.000000,2025-02-20T19:51:59.000000,2025-02-22T14:11:40.000000,0,Thursday,1,3.715,42.32805555555556,46.043055555555554,1,2025-08
CR-5454,Security patch applied: Monitoring for any issues.,Complaint,Peter,Peter,Avengers,Service C,In Progress,Medium,Low,Low,Low,2025-02-20T15:42:18.000000,2025-02-20T19:33:49.000000,,0,Thursday,1,3.858611111111111,,,0,2025-08
CR-5455,Database transaction rollback error flagged for audit.,Network,Peter,Captain America,Matrix,Service B,New,Low,High,High,High,2025-02-20T23:51:30.000000,,,1,Thursday,0,,,,0,2025-08
CR-5456,USB device blocked: Removable media protection active.,Software,Martin,Jan,Matrix,Service B,Closed,Low,Medium,High,Low,2025-02-20T13:13:22.000000,2025-02-20T18:59:01.000000,2025-02-22T04:05:58.000000,1,Thursday,0,5.760833333333333,33.115833333333335,38.876666666666665,1,2025-08
CR-5457,Cloud misconfiguration alert: Public exposure of sensitive data.,Software,Michal,Peter,Avengers,Service B,On Hold,Medium,Low,High,Medium,2025-02-20T06:31:34.000000,,,0,Thursday,1,,,,0,2025-08
CR-5458,Ransomware execution blocked by endpoint protection.,Software,Captain America,Jan,Avengers,Service A,Closed,Medium,High,High,Low,2025-02-20T15:48:01.000000,2025-02-20T17:49:05.000000,2025-02-22T14:02:19.000000,1,Thursday,0,2.017777777777778,44.220555555555556,46.23833333333334,1,2025-08
CR-5459,Unencrypted sensitive file shared externally.,Software,Thor,Martin,Avengers,Service B,Closed,High,Medium,Low,Medium,2025-02-20T00:04:50.000000,2025-02-20T03:16:29.000000,2025-02-20T12:27:34.000000,1,Thursday,0,3.194166666666667,9.184722222222222,12.37888888888889,0,2025-08
CR-5460,Email flagged as phishing: Sensitive keywords detected.,Hardware,Martin,Iron Man,Avengers,Service C,Closed,Medium,Low,Medium,Medium,2025-02-20T05:15:12.000000,2025-02-20T12:57:56.000000,2025-02-21T16:46:24.000000,0,Thursday,1,7.7122222222222225,27.807777777777776,35.52,0,2025-08
CR-5461,Unscheduled file deletion detected on shared drive.,Complaint,Captain America,Iron Man,Matrix,Service A,Closed,High,Medium,Medium,Medium,2025-02-20T20:30:34.000000,2025-02-21T02:20:16.000000,2025-02-21T10:19:02.000000,0,Thursday,1,5.828333333333333,7.979444444444445,13.807777777777778,0,2025-08
CR-5462,Critical alert: Database server overload detected.,Failure,Peter,Martin,Matrix,Service B,In Progress,Low,Medium,Low,Medium,2025-02-20T12:43:59.000000,2025-02-20T15:20:50.000000,,1,Thursday,0,2.6141666666666667,,,0,2025-08
CR-5463,SQL injection attempt: Unauthorized queries flagged.,Facilities,Peter,Thor,Avengers II,Service C,In Progress,High,Medium,Low,High,2025-02-20T12:50:32.000000,2025-02-20T18:51:59.000000,,0,Thursday,1,6.024166666666667,,,0,2025-08
CR-5464,Critical security incident logged: Immediate remediation required.,Facilities,Martin,Iron Man,Avengers II,Service A,Closed,High,High,Medium,Medium,2025-02-20T19:39:21.000000,2025-02-20T22:44:48.000000,2025-02-22T06:05:41.000000,0,Thursday,1,3.0908333333333333,31.348055555555554,34.43888888888889,1,2025-08
CR-5465,DNS attack detected: Unusual query patterns observed.,Access,Iron Man,Martin,Matrix,Service A,Closed,Low,Medium,High,Medium,2025-02-20T18:37:20.000000,2025-02-21T01:44:25.000000,2025-02-22T10:55:27.000000,0,Thursday,1,7.118055555555555,33.18388888888889,40.301944444444445,1,2025-08
CR-5466,Unencrypted sensitive file shared externally.,Failure,Thor,Jan,Matrix,Service C,Closed,High,High,High,Medium,2025-02-20T05:48:18.000000,2025-02-20T10:19:09.000000,2025-02-20T20:40:59.000000,1,Thursday,0,4.514166666666667,10.363888888888889,14.878055555555555,1,2025-08
CR-5467,Ransomware execution blocked by endpoint protection.,Data,Martin,Jan,Matrix,Service B,Closed,Low,Low,Medium,Low,2025-02-20T10:53:18.000000,2025-02-20T17:22:41.000000,2025-02-22T14:11:05.000000,1,Thursday,0,6.489722222222222,44.806666666666665,51.29638888888889,0,2025-08
CR-5468,Cross-site scripting (XSS) detected on customer portal.,Failure,Michal,Michal,Matrix,Service B,New,High,Low,Low,High,2025-02-20T19:34:06.000000,,,1,Thursday,0,,,,0,2025-08
CR-5469,Cross-site scripting (XSS) detected on customer portal.,Network,Michal,Captain America,Matrix,Service A,Closed,High,High,Medium,Medium,2025-02-20T01:58:31.000000,2025-02-20T08:49:40.000000,2025-02-21T18:43:27.000000,1,Thursday,0,6.8525,33.896388888888886,40.74888888888889,1,2025-08
CR-5470,Phishing email flagged: User report received for fake login attempt.,Complaint,Michal,Michal,Avengers,Service C,Closed,Medium,Low,High,High,2025-02-20T17:46:18.000000,2025-02-20T20:13:25.000000,2025-02-21T20:28:16.000000,0,Thursday,1,2.4519444444444445,24.2475,26.699444444444445,0,2025-08
CR-5471,Data breach notification sent to affected users.,Hardware,Peter,Michal,Avengers,Service A,On Hold,Medium,Low,Medium,Medium,2025-02-20T11:20:23.000000,,,1,Thursday,0,,,,0,2025-08
CR-5472,Database transaction rollback error flagged for audit.,Complaint,Martin,Thor,Matrix,Service C,Closed,Low,Low,Low,High,2025-02-20T11:45:11.000000,2025-02-20T20:10:16.000000,2025-02-21T13:29:11.000000,1,Thursday,0,8.418055555555556,17.315277777777776,25.733333333333334,0,2025-08
CR-5473,Service outage detected - No connection to database.,Access,Michal,Michal,Avengers,Service C,Closed,High,Medium,High,High,2025-02-20T22:52:47.000000,2025-02-21T05:57:14.000000,2025-02-22T23:31:10.000000,1,Thursday,0,7.074166666666667,41.565555555555555,48.639722222222225,1,2025-08
CR-5474,DNS attack detected: Unusual query patterns observed.,Data,Peter,Jan,Avengers II,Service A,Closed,Low,High,Low,Medium,2025-02-20T10:16:01.000000,2025-02-20T13:43:57.000000,2025-02-21T14:04:13.000000,1,Thursday,0,3.4655555555555555,24.337777777777777,27.803333333333335,1,2025-08
CR-5475,Locked account: Excessive password retry attempts.,Network,Thor,Peter,Avengers,Service A,Closed,High,Low,Medium,High,2025-02-20T17:12:46.000000,2025-02-21T00:39:36.000000,2025-02-21T14:13:19.000000,1,Thursday,0,7.447222222222222,13.561944444444444,21.009166666666665,0,2025-08
CR-5476,Suspicious behavior: Multiple failed login attempts detected.,Access,Peter,Michal,Avengers,Service A,Closed,Low,High,High,Low,2025-02-20T14:59:44.000000,2025-02-20T21:26:27.000000,2025-02-21T23:00:31.000000,0,Thursday,1,6.445277777777778,25.567777777777778,32.01305555555555,1,2025-08
CR-5477,Web server certificate expired: Issue flagged for priority teams.,Data,Michal,Martin,Avengers II,Service C,Closed,Medium,High,Medium,Low,2025-02-20T16:29:31.000000,2025-02-20T18:40:21.000000,2025-02-21T05:24:17.000000,1,Thursday,0,2.1805555555555554,10.732222222222223,12.912777777777778,1,2025-08
CR-5478,Unscheduled software change: Application version rolled back.,Data,Captain America,Jan,Avengers II,Service C,Closed,Medium,Low,Medium,High,2025-02-20T17:32:41.000000,2025-02-20T20:30:56.000000,2025-02-21T07:15:18.000000,0,Thursday,1,2.970833333333333,10.739444444444445,13.710277777777778,0,2025-08
CR-5479,Power failure simulation triggered during red team activity.,Hardware,Iron Man,Thor,Avengers II,Service C,Closed,Medium,High,Low,Medium,2025-02-20T07:23:53.000000,2025-02-20T15:20:36.000000,2025-02-22T09:05:54.000000,0,Thursday,1,7.945277777777778,41.755,49.70027777777778,1,2025-08
CR-5480,Suspicious behavior: Multiple failed login attempts detected.,Hardware,Martin,Iron Man,Avengers II,Service B,Closed,Medium,High,Low,Low,2025-02-20T00:26:51.000000,2025-02-20T06:42:13.000000,2025-02-22T02:13:37.000000,1,Thursday,0,6.256111111111111,43.52333333333333,49.779444444444444,1,2025-08
CR-5481,Data download from personal device flagged for review.,Failure,Martin,Thor,Avengers,Service A,Closed,High,Low,Medium,Low,2025-02-20T17:44:14.000000,2025-02-20T23:02:22.000000,2025-02-22T09:03:13.000000,0,Thursday,1,5.302222222222222,34.01416666666667,39.31638888888889,0,2025-08
CR-5482,Server reboot required: Kernel update incomplete.,Software,Jan,Thor,Matrix,Service C,Closed,Low,Low,Medium,Low,2025-02-20T13:07:29.000000,2025-02-20T15:42:30.000000,2025-02-21T15:44:37.000000,1,Thursday,0,2.5836111111111113,24.03527777777778,26.61888888888889,0,2025-08
CR-5483,File integrity check failed: Data corruption suspected.,Software,Martin,Jan,Matrix,Service B,Closed,Low,Low,High,High,2025-02-20T07:50:34.000000,2025-02-20T11:51:43.000000,2025-02-22T05:51:02.000000,0,Thursday,1,4.019166666666667,41.98861111111111,46.007777777777775,0,2025-08
CR-5484,Power failure simulation triggered during red team activity.,Software,Jan,Peter,Avengers II,Service B,In Progress,Medium,High,High,Medium,2025-02-20T07:34:38.000000,2025-02-20T11:24:51.000000,,1,Thursday,0,3.8369444444444443,,,0,2025-08
CR-5485,Unauthorized device connected: MAC address not whitelisted.,Complaint,Thor,Peter,Matrix,Service C,Closed,High,Medium,High,Medium,2025-02-20T11:12:29.000000,2025-02-20T14:24:04.000000,2025-02-20T16:29:52.000000,1,Thursday,0,3.1930555555555555,2.0966666666666667,5.289722222222222,0,2025-08
CR-5486,Unusual system reboot detected on DevOps environment.,Failure,Jan,Michal,Avengers,Service C,On Hold,Low,High,Medium,Medium,2025-02-20T18:37:16.000000,,,1,Thursday,0,,,,0,2025-08
CR-5487,Web server certificate expired: Issue flagged for priority teams.,Access,Iron Man,Jan,Avengers II,Service C,Closed,Medium,Medium,Low,Low,2025-02-20T15:49:03.000000,2025-02-20T20:19:41.000000,2025-02-22T01:25:16.000000,1,Thursday,0,4.510555555555555,29.093055555555555,33.603611111111114,1,2025-08
CR-5488,Endpoint offline: Device not syncing with central server.,Failure,Jan,Captain America,Matrix,Service B,Closed,Low,Medium,Medium,Medium,2025-02-20T03:05:37.000000,2025-02-20T10:57:27.000000,2025-02-20T18:49:11.000000,0,Thursday,1,7.863888888888889,7.862222222222222,15.726111111111111,0,2025-08
CR-5489,Security patch missing: Update not applied on critical server.,Software,Martin,Thor,Avengers II,Service A,New,Medium,Medium,Medium,Medium,2025-02-20T03:52:53.000000,,,0,Thursday,1,,,,0,2025-08
CR-5490,Data download from personal device flagged for review.,Access,Martin,Captain America,Matrix,Service C,Closed,Low,Low,High,Low,2025-02-21T17:01:09.000000,2025-02-21T21:14:47.000000,2025-02-23T02:41:54.000000,0,Friday,1,4.227222222222222,29.451944444444443,33.67916666666667,0,2025-08
CR-5491,Failed Workflow - ID: 0000,Data,Michal,Peter,Avengers,Service B,Closed,Low,Low,Medium,High,2025-02-21T07:42:47.000000,2025-02-21T15:03:03.000000,2025-02-22T20:54:09.000000,1,Friday,0,7.337777777777778,29.851666666666667,37.18944444444445,0,2025-08
CR-5492,Critical alert: Database server overload detected.,Access,Thor,Jan,Matrix,Service B,New,Low,Medium,High,High,2025-02-21T00:30:41.000000,,,0,Friday,1,,,,0,2025-08
CR-5493,ARP spoofing detected: Network traffic rerouted.,Access,Iron Man,Peter,Avengers II,Service C,Closed,Medium,Medium,Medium,Medium,2025-02-21T13:10:04.000000,2025-02-21T18:38:25.000000,2025-02-23T06:19:36.000000,1,Friday,0,5.4725,35.68638888888889,41.15888888888889,1,2025-08
CR-5494,SQL injection attempt: Unauthorized queries flagged.,Hardware,Jan,Peter,Matrix,Service C,Closed,Medium,Medium,High,High,2025-02-21T03:59:46.000000,2025-02-21T10:14:59.000000,2025-02-22T20:14:34.000000,1,Friday,0,6.253611111111111,33.99305555555556,40.24666666666667,1,2025-08
CR-5495,Internal network inaccessible: Ping requests time out.,Facilities,Peter,Peter,Avengers II,Service B,Closed,Low,Low,Medium,High,2025-02-21T08:49:37.000000,2025-02-21T16:57:09.000000,2025-02-22T07:42:54.000000,0,Friday,1,8.125555555555556,14.7625,22.888055555555557,0,2025-08
CR-5496,Unusual system reboot detected on DevOps environment.,Hardware,Peter,Martin,Avengers,Service B,Closed,Low,Medium,Medium,Medium,2025-02-21T21:15:15.000000,2025-02-22T00:42:58.000000,2025-02-23T21:14:56.000000,0,Friday,1,3.4619444444444443,44.53277777777778,47.99472222222222,1,2025-08
CR-5497,Database transaction rollback error flagged for audit.,Access,Michal,Jan,Avengers,Service B,New,Medium,High,High,High,2025-02-21T18:25:11.000000,,,0,Friday,1,,,,0,2025-08
CR-5498,Suspicious behavior: Multiple failed login attempts detected.,Network,Michal,Michal,Avengers,Service B,Closed,High,High,Low,High,2025-02-21T05:08:30.000000,2025-02-21T12:54:53.000000,2025-02-22T21:30:15.000000,0,Friday,1,7.773055555555556,32.589444444444446,40.3625,1,2025-08
CR-5499,Failed malware removal: Corrupted file system detected.,Network,Peter,Jan,Avengers II,Service A,Closed,Low,Low,Medium,Medium,2025-02-21T23:09:49.000000,2025-02-22T08:06:04.000000,2025-02-23T14:38:59.000000,1,Friday,0,8.9375,30.54861111111111,39.486111111111114,0,2025-08
CR-5500,Antivirus disabled on workstation: Protection compromised.,Network,Thor,Jan,Avengers,Service C,Closed,Medium,Low,Medium,Low,2025-02-21T17:03:06.000000,2025-02-21T19:09:22.000000,2025-02-22T23:33:37.000000,1,Friday,0,2.1044444444444443,28.404166666666665,30.50861111111111,0,2025-08
CR-5501,Database schema corruption: Unable to read or query data tables.,Data,Peter,Martin,Matrix,Service B,In Progress,High,Low,Medium,Medium,2025-02-21T01:50:55.000000,2025-02-21T06:09:03.000000,,1,Friday,0,4.302222222222222,,,0,2025-08
CR-5502,Cloud instance misconfiguration: Public access enabled.,Software,Iron Man,Thor,Avengers II,Service C,Closed,Low,Low,High,High,2025-02-21T07:33:06.000000,2025-02-21T14:34:23.000000,2025-02-23T02:59:12.000000,0,Friday,1,7.021388888888889,36.41361111111111,43.435,0,2025-08
CR-5503,Breach alert: Privileged credentials exposed.,Facilities,Martin,Martin,Matrix,Service B,Closed,Low,High,High,High,2025-02-21T19:17:18.000000,2025-02-22T03:07:53.000000,2025-02-23T08:48:21.000000,1,Friday,0,7.843055555555556,29.674444444444443,37.5175,1,2025-08
CR-5504,Failed malware removal: Corrupted file system detected.,Data,Michal,Captain America,Avengers II,Service A,Closed,Low,Medium,High,High,2025-02-21T17:28:53.000000,2025-02-21T21:31:11.000000,2025-02-23T06:22:45.000000,1,Friday,0,4.038333333333333,32.85944444444444,36.897777777777776,1,2025-08
CR-5505,Critical alert: Database server overload detected.,Access,Peter,Martin,Matrix,Service C,Closed,Low,Medium,Medium,High,2025-02-21T06:43:06.000000,2025-02-21T10:42:12.000000,2025-02-23T07:24:11.000000,0,Friday,1,3.985,44.69972222222222,48.68472222222222,1,2025-08
CR-5506,Malware alert: Suspicious executable flagged during scan.,Network,Captain America,Peter,Matrix,Service C,Closed,Low,High,High,Low,2025-02-21T16:00:20.000000,2025-02-21T21:42:21.000000,2025-02-23T16:06:35.000000,1,Friday,0,5.700277777777778,42.403888888888886,48.104166666666664,1,2025-08
CR-5507,Critical alert: Database server overload detected.,Failure,Thor,Jan,Matrix,Service B,Closed,Medium,High,Low,Low,2025-02-21T07:16:51.000000,2025-02-21T15:47:03.000000,2025-02-22T05:00:00.000000,0,Friday,1,8.503333333333334,13.215833333333334,21.719166666666666,1,2025-08
CR-5508,VPN connection failure: Unable to securely tunnel data.,Failure,Martin,Captain America,Avengers,Service B,Closed,Low,Medium,High,Medium,2025-02-21T16:30:33.000000,2025-02-21T21:00:07.000000,2025-02-23T15:14:39.000000,1,Friday,0,4.4927777777777775,42.242222222222225,46.735,1,2025-08
CR-5509,Unscheduled file deletion detected on shared drive.,Data,Martin,Captain America,Avengers II,Service B,Closed,Low,High,High,Medium,2025-02-21T18:55:55.000000,2025-02-21T23:07:46.000000,2025-02-22T11:12:51.000000,0,Friday,1,4.1975,12.084722222222222,16.282222222222224,1,2025-08
CR-5510,Authentication error: Multi-factor authentication failed.,Data,Captain America,Martin,Matrix,Service A,Closed,Medium,Medium,Medium,Low,2025-02-21T22:15:59.000000,2025-02-22T05:15:38.000000,2025-02-22T18:04:22.000000,0,Friday,1,6.994166666666667,12.812222222222223,19.80638888888889,0,2025-08
CR-5511,DDoS attack mitigation active: Rate-limiting initiated.,Hardware,Peter,Jan,Matrix,Service A,Closed,Low,High,High,Low,2025-02-21T13:29:05.000000,2025-02-21T15:56:56.000000,2025-02-23T11:28:59.000000,0,Friday,1,2.464166666666667,43.534166666666664,45.998333333333335,1,2025-08
CR-5512,Failed malware removal: Corrupted file system detected.,Data,Martin,Thor,Matrix,Service C,New,Low,Low,High,High,2025-02-21T11:51:12.000000,,,0,Friday,1,,,,0,2025-08
CR-5513,VPN connection failure: Unable to securely tunnel data.,Software,Captain America,Jan,Avengers II,Service C,Closed,High,Medium,High,High,2025-02-21T17:09:05.000000,2025-02-21T19:59:07.000000,2025-02-23T16:56:19.000000,0,Friday,1,2.8338888888888887,44.95333333333333,47.78722222222222,1,2025-08
CR-5514,Failed encryption process: Unable to secure sensitive data.,Network,Thor,Michal,Avengers II,Service B,Closed,Medium,Medium,High,Low,2025-02-21T04:36:52.000000,2025-02-21T06:43:17.000000,2025-02-22T05:40:59.000000,0,Friday,1,2.1069444444444443,22.961666666666666,25.06861111111111,0,2025-08
CR-5515,DDoS attack detected: High traffic spotted on critical service.,Facilities,Thor,Peter,Avengers II,Service C,Closed,High,Low,High,Medium,2025-02-21T18:06:00.000000,2025-02-22T02:02:21.000000,2025-02-23T05:25:53.000000,0,Friday,1,7.939166666666667,27.392222222222223,35.33138888888889,0,2025-08
CR-5516,System configuration error: Permissions incorrectly set.,Software,Iron Man,Martin,Avengers,Service B,Closed,Low,Low,Medium,Low,2025-02-21T16:19:00.000000,2025-02-22T00:26:13.000000,2025-02-23T21:02:59.000000,1,Friday,0,8.120277777777778,44.61277777777778,52.73305555555555,0,2025-08
CR-5517,Suspicious API calls detected: Abnormal volume of requests identified.,Network,Thor,Michal,Matrix,Service C,Closed,High,Low,Medium,Low,2025-02-21T05:09:33.000000,2025-02-21T09:32:42.000000,2025-02-22T21:14:09.000000,1,Friday,0,4.385833333333333,35.69083333333333,40.07666666666667,0,2025-08
CR-5518,Service outage detected - No connection to database.,Access,Peter,Jan,Matrix,Service B,New,Low,High,Low,Medium,2025-02-21T17:48:27.000000,,,1,Friday,0,,,,0,2025-08
CR-5519,Malicious macro executed within Office file.,Complaint,Thor,Martin,Matrix,Service B,In Progress,Medium,Low,High,High,2025-02-21T01:59:42.000000,2025-02-21T06:37:58.000000,,1,Friday,0,4.637777777777778,,,0,2025-08
CR-5520,Failed Workflow - ID: 0000,Facilities,Captain America,Michal,Avengers II,Service C,Closed,High,Low,Low,Low,2025-02-21T03:20:21.000000,2025-02-21T09:15:57.000000,2025-02-23T03:14:34.000000,0,Friday,1,5.926666666666667,41.97694444444444,47.90361111111111,0,2025-08
CR-5521,Firewall breach: Unauthorized access through open port.,Network,Iron Man,Michal,Avengers II,Service A,Closed,High,High,High,High,2025-02-21T15:13:17.000000,2025-02-21T17:49:33.000000,2025-02-21T21:46:35.000000,1,Friday,0,2.6044444444444443,3.9505555555555554,6.555,0,2025-08
CR-5522,Web server certificate expired: Issue flagged for priority teams.,Access,Thor,Martin,Avengers II,Service C,Closed,Medium,Low,Low,High,2025-02-21T23:51:49.000000,2025-02-22T08:17:40.000000,2025-02-22T17:40:03.000000,1,Friday,0,8.430833333333334,9.373055555555556,17.80388888888889,0,2025-08
CR-5523,Phishing email flagged: User report received for fake login attempt.,Data,Iron Man,Michal,Avengers,Service C,In Progress,Low,Medium,High,Low,2025-02-21T10:46:22.000000,2025-02-21T15:18:27.000000,,0,Friday,1,4.534722222222222,,,0,2025-08
CR-5524,Ransomware execution blocked by endpoint protection.,Facilities,Iron Man,Jan,Avengers II,Service C,Closed,Low,Low,High,Low,2025-02-21T15:54:30.000000,2025-02-21T19:56:52.000000,2025-02-22T21:51:34.000000,0,Friday,1,4.039444444444444,25.911666666666665,29.95111111111111,0,2025-08
CR-5525,Endpoint offline: Device not syncing with central server.,Data,Michal,Thor,Matrix,Service B,Closed,Low,High,High,High,2025-02-21T22:36:46.000000,2025-02-22T02:32:34.000000,2025-02-22T20:49:16.000000,0,Friday,1,3.93,18.278333333333332,22.208333333333332,1,2025-08
CR-5526,Unscheduled file deletion detected on shared drive.,Facilities,Peter,Jan,Matrix,Service B,Closed,High,High,High,Low,2025-02-21T03:23:15.000000,2025-02-21T07:27:34.000000,2025-02-21T11:09:16.000000,0,Friday,1,4.071944444444444,3.695,7.766944444444444,0,2025-08
CR-5527,VPN connection failure: Unable to securely tunnel data.,Facilities,Jan,Peter,Avengers,Service C,Closed,Medium,Medium,High,High,2025-02-21T21:33:58.000000,2025-02-22T00:45:28.000000,2025-02-22T03:40:11.000000,1,Friday,0,3.191666666666667,2.9119444444444444,6.103611111111111,0,2025-08
CR-5528,Unauthorized user session hijacked on browser.,Network,Jan,Captain America,Avengers,Service A,Closed,Medium,Medium,Low,Low,2025-02-21T16:48:13.000000,2025-02-21T21:31:08.000000,2025-02-22T02:30:05.000000,1,Friday,0,4.715277777777778,4.9825,9.697777777777778,0,2025-08
CR-5529,Database schema corruption: Unable to read or query data tables.,Access,Martin,Thor,Avengers II,Service B,Closed,Medium,Low,Medium,Low,2025-02-21T06:50:14.000000,2025-02-21T09:11:58.000000,2025-02-23T02:51:35.000000,0,Friday,1,2.362222222222222,41.66027777777778,44.0225,0,2025-08
CR-5530,DDoS attack mitigation active: Rate-limiting initiated.,Complaint,Peter,Michal,Matrix,Service C,Closed,High,Medium,High,Low,2025-02-21T04:11:34.000000,2025-02-21T11:33:35.000000,2025-02-22T14:59:32.000000,1,Friday,0,7.366944444444444,27.4325,34.79944444444445,1,2025-08
CR-5531,Failed security training attempt recorded in training portal.,Hardware,Iron Man,Peter,Avengers II,Service A,Closed,Medium,Medium,Low,Medium,2025-02-21T17:10:28.000000,2025-02-21T21:34:36.000000,2025-02-22T14:30:49.000000,0,Friday,1,4.402222222222222,16.936944444444446,21.339166666666667,0,2025-08
CR-5532,Data breach notification sent to affected users.,Failure,Iron Man,Thor,Matrix,Service B,Closed,High,Medium,High,Medium,2025-02-21T06:18:11.000000,2025-02-21T08:18:41.000000,2025-02-21T17:39:52.000000,0,Friday,1,2.0083333333333333,9.353055555555555,11.36138888888889,0,2025-08
CR-5533,Unusual system reboot detected on DevOps environment.,Network,Thor,Jan,Avengers II,Service A,Closed,High,Low,High,High,2025-02-21T11:57:59.000000,2025-02-21T20:48:25.000000,2025-02-23T04:19:57.000000,1,Friday,0,8.840555555555556,31.525555555555556,40.36611111111111,0,2025-08
CR-5534,Database transaction rollback error flagged for audit.,Hardware,Jan,Captain America,Avengers,Service A,Closed,High,High,High,High,2025-02-21T06:14:27.000000,2025-02-21T11:21:16.000000,2025-02-22T08:41:19.000000,1,Friday,0,5.113611111111111,21.33416666666667,26.447777777777777,1,2025-08
CR-5535,SQL injection attempt: Unauthorized queries flagged.,Network,Jan,Martin,Avengers,Service A,New,High,Low,Medium,High,2025-02-21T16:17:21.000000,,,1,Friday,0,,,,0,2025-08
CR-5536,Privileged account login attempt: Microsoft Admin flagged.,Hardware,Martin,Thor,Avengers II,Service A,Closed,Medium,Low,Low,High,2025-02-21T23:46:26.000000,2025-02-22T02:29:38.000000,2025-02-22T16:41:37.000000,1,Friday,0,2.72,14.199722222222222,16.919722222222223,0,2025-08
CR-5537,Critical alert: Database server overload detected.,Data,Jan,Captain America,Avengers,Service C,Closed,Low,High,Medium,Medium,2025-02-21T05:19:34.000000,2025-02-21T14:15:25.000000,2025-02-23T09:12:49.000000,0,Friday,1,8.930833333333334,42.95666666666666,51.8875,1,2025-08
