Number,Short Description,Process,System,Assignment Group,Assigned To,State,Priority,Urgency,Impact,Day,Created,Actual Start,Actual End,Closed,Processing Time (hrs),Response Time (hrs),Total Time (hrs)
ERR-2025-03273,Wrong creditor name in SEPA file causing beneficiary mismatch,SEPA Payment,Stargate,DC,Dr. X,Closed,Medium,Medium,Low,Wednesday,2025-04-02T07:51:14.000000,2025-04-02T09:15:14.000000,2025-04-02T21:12:45.666919,2025-04-02T22:12:45.666919,11.95861111111111,1.4,14.358611111111111
ERR-2025-03274,Incorrect account number used - funds credited to wrong customer,Domestic Payment,STP CAT,DC,Batman,Closed,Medium,Low,Medium,Thursday,2025-04-17T13:17:28.000000,2025-04-17T13:29:28.000000,2025-04-18T05:28:34.026209,2025-04-18T05:56:34.026209,15.985,0.2,16.651666666666667
ERR-2025-03275,Wrong currency selected - USD payment sent instead of EUR,International Transfer,Stargate,DC,Batman,Closed,High,High,High,Thursday,2025-04-24T14:45:35.000000,2025-04-24T15:22:35.000000,2025-04-24T17:26:45.081294,2025-04-24T18:48:45.081294,2.0694444444444446,0.6166666666666667,4.052777777777778
ERR-2025-03276,SEPA batch submitted after cut-off - delayed by one business day,SEPA Payment,Stargate,DC,Punisher,Closed,Critical,High,High,Tuesday,2025-04-22T06:33:56.000000,2025-04-22T07:10:56.000000,2025-04-22T08:01:40.316568,2025-04-22T09:30:40.316568,0.8455555555555555,0.6166666666666667,2.9455555555555555
ERR-2025-03277,Wrong remittance information causing invoice matching failure,SEPA Payment,Stargate,DC,Aquaman,Closed,High,Medium,High,Monday,2025-04-07T12:21:02.000000,2025-04-07T12:48:02.000000,2025-04-07T16:45:51.530508,2025-04-07T17:12:51.530508,3.963611111111111,0.45,4.863611111111111
ERR-2025-03278,Domestic payment submitted twice - duplicate detected post-settlement,Domestic Payment,STP CAT,DC,Dr. X,Closed,Medium,Medium,Medium,Tuesday,2025-04-29T15:15:11.000000,2025-04-29T16:29:11.000000,2025-04-30T07:48:21.075818,2025-04-30T08:34:21.075818,15.319444444444445,1.2333333333333334,17.319444444444443
ERR-2025-03279,Incorrect amount corrected to wrong value during manual review,Edit Q,SOLEMOS,DC,Dr. X,Closed,High,High,Medium,Wednesday,2025-04-02T14:08:56.000000,2025-04-02T14:57:56.000000,2025-04-02T18:30:28.922507,2025-04-02T19:30:28.922507,3.542222222222222,0.8166666666666667,5.358888888888889
ERR-2025-03280,Batch domestic file contained incorrect beneficiary account details,Domestic Payment,STP CAT,DC,Dr. X,Closed,Medium,Medium,Medium,Tuesday,2025-04-29T12:28:25.000000,2025-04-29T13:52:25.000000,2025-04-30T05:35:26.926943,2025-04-30T06:33:26.926943,15.716944444444444,1.4,18.08361111111111
ERR-2025-03281,Payment instruction processed without customer authorisation,Basic Payment,STP CAT,DC,Punisher,Closed,High,High,High,Wednesday,2025-04-23T15:04:48.000000,2025-04-23T16:17:48.000000,2025-04-23T20:47:32.774165,2025-04-23T22:02:32.774165,4.495555555555556,1.2166666666666666,6.9622222222222225
ERR-2025-03282,Duplicate international wire submitted - double payment issued,International Transfer,Stargate,DC,Dr. X,Closed,High,Medium,Medium,Tuesday,2025-04-22T21:54:51.000000,2025-04-22T22:47:51.000000,2025-04-23T01:50:13.009198,2025-04-23T02:53:13.009198,3.0394444444444444,0.8833333333333333,4.972777777777778
ERR-2025-03283,Wrong account debited for basic payment instruction,Basic Payment,STP CAT,DC,Aquaman,Closed,Medium,Medium,Medium,Thursday,2025-04-10T10:17:28.000000,2025-04-10T10:46:28.000000,2025-04-10T18:04:23.002024,2025-04-10T18:32:23.002024,7.298611111111111,0.48333333333333334,8.248611111111112
ERR-2025-03284,Incorrect BIC code used - wire transfer routed to wrong bank,International Transfer,Stargate,DC,Punisher,Closed,Critical,High,High,Saturday,2025-04-19T15:25:47.000000,2025-04-19T16:00:47.000000,2025-04-19T16:59:28.256481,2025-04-19T17:17:28.256481,0.9780555555555556,0.5833333333333334,1.861388888888889
ERR-2025-03285,Incorrect amount entered - customer overcharged,Basic Payment,STP CAT,DC,Punisher,Closed,Low,Low,Low,Thursday,2025-04-10T15:22:01.000000,2025-04-10T16:10:01.000000,2025-04-12T15:20:34.965133,2025-04-12T15:47:34.965133,47.17583333333334,0.8,48.42583333333334
ERR-2025-03286,Payment not reversed after customer dispute was resolved,Basic Payment,STP CAT,DC,Aquaman,Closed,Medium,Medium,Medium,Saturday,2025-04-05T21:35:39.000000,2025-04-05T22:14:39.000000,2025-04-06T18:06:49.060953,2025-04-06T19:03:49.060953,19.869444444444444,0.65,21.469444444444445
ERR-2025-03287,Incorrect account number used - funds credited to wrong customer,Domestic Payment,STP CAT,DC,Dr. X,Closed,High,High,Medium,Friday,2025-04-11T21:41:41.000000,2025-04-11T22:54:41.000000,2025-04-12T02:39:24.289327,2025-04-12T03:23:24.289327,3.745277777777778,1.2166666666666666,5.695277777777778
ERR-2025-03288,Wrong payment date configured - standing order triggered early,Domestic Payment,STP CAT,DC,Dr. X,Closed,High,High,Low,Tuesday,2025-04-22T21:58:14.000000,2025-04-22T23:04:14.000000,2025-04-23T04:56:49.201468,2025-04-23T05:30:49.201468,5.876388888888889,1.1,7.543055555555555
ERR-2025-03289,Domestic payment submitted twice - duplicate detected post-settlement,Domestic Payment,STP CAT,DC,Batman,Closed,Medium,Low,Medium,Thursday,2025-04-03T08:47:48.000000,2025-04-03T09:50:48.000000,2025-04-04T09:02:03.458670,2025-04-04T09:42:03.458670,23.1875,1.05,24.904166666666665
ERR-2025-03290,Domestic transfer sent to dormant account - return not monitored,Domestic Payment,STP CAT,DC,Batman,Closed,High,High,Medium,Monday,2025-04-14T09:35:18.000000,2025-04-14T10:19:18.000000,2025-04-14T16:12:34.230248,2025-04-14T17:09:34.230248,5.887777777777778,0.7333333333333333,7.571111111111111
ERR-2025-03291,Batch domestic file contained incorrect beneficiary account details,Domestic Payment,STP CAT,DC,Punisher,Closed,Low,Low,Low,Saturday,2025-04-26T10:12:04.000000,2025-04-26T10:41:04.000000,2025-04-27T08:06:31.010108,2025-04-27T09:34:31.010108,21.424166666666668,0.48333333333333334,23.374166666666667
ERR-2025-03292,Incorrect account number used - funds credited to wrong customer,Domestic Payment,STP CAT,DC,Dr. X,Closed,High,Medium,High,Wednesday,2025-04-30T14:34:49.000000,2025-04-30T15:07:49.000000,2025-04-30T20:55:19.003693,2025-04-30T22:22:19.003693,5.791666666666667,0.55,7.791666666666667
ERR-2025-03293,Domestic transfer sent to dormant account - return not monitored,Domestic Payment,STP CAT,DC,Batman,Closed,High,High,Medium,Thursday,2025-04-24T18:36:31.000000,2025-04-24T19:13:31.000000,2025-04-24T22:19:54.393873,2025-04-24T23:44:54.393873,3.106388888888889,0.6166666666666667,5.139722222222222
ERR-2025-03294,Manual override applied in Edit Q without supervisor sign-off,Edit Q,STP CAT,DC,Dr. X,Closed,Medium,Medium,Medium,Wednesday,2025-04-30T16:35:03.000000,2025-04-30T16:49:03.000000,2025-05-01T02:58:14.000681,2025-05-01T03:32:14.000681,10.153055555555556,0.23333333333333334,10.953055555555556
ERR-2025-03295,Wrong currency applied to domestic GBP payment,Domestic Payment,STP CAT,DC,Aquaman,Closed,High,High,High,Tuesday,2025-04-01T09:37:05.000000,2025-04-01T10:23:05.000000,2025-04-01T15:34:11.857205,2025-04-01T15:52:11.857205,5.185,0.7666666666666667,6.251666666666667
ERR-2025-03296,Edit Queue item approved without verifying beneficiary details,Edit Q,SOLEMOS,DC,Batman,Closed,Low,Low,Low,Friday,2025-04-25T18:02:25.000000,2025-04-25T18:36:25.000000,2025-04-26T16:20:11.443697,2025-04-26T17:11:11.443697,21.729444444444443,0.5666666666666667,23.14611111111111
ERR-2025-03297,Incorrect end-to-end reference causing reconciliation failure,SEPA Payment,STP CAT,DC,Dr. X,Closed,Medium,Medium,Medium,Monday,2025-04-21T02:16:43.000000,2025-04-21T02:42:43.000000,2025-04-22T02:18:37.831650,2025-04-22T02:37:37.831650,23.598333333333333,0.43333333333333335,24.348333333333333
ERR-2025-03298,Payment not reversed after customer dispute was resolved,Basic Payment,STP CAT,DC,Batman,Closed,Medium,Low,Medium,Thursday,2025-04-03T17:43:06.000000,2025-04-03T18:40:06.000000,2025-04-04T01:31:13.246777,2025-04-04T02:42:13.246777,6.851944444444444,0.95,8.985277777777778
ERR-2025-03299,Wrong account debited for basic payment instruction,Basic Payment,STP CAT,DC,Punisher,Closed,High,High,High,Monday,2025-04-14T13:56:06.000000,2025-04-14T14:11:06.000000,2025-04-14T16:54:20.414734,2025-04-14T17:15:20.414734,2.7205555555555554,0.25,3.3205555555555555
ERR-2025-03300,Basic payment processed on wrong value date,Basic Payment,STP CAT,DC,Punisher,Closed,Medium,Medium,Medium,Thursday,2025-04-24T17:30:09.000000,2025-04-24T18:46:09.000000,2025-04-25T16:39:17.614057,2025-04-25T17:23:17.614057,21.885555555555555,1.2666666666666666,23.885555555555555
ERR-2025-03301,Wrong account debited for basic payment instruction,Basic Payment,STP CAT,DC,Dr. X,Closed,Critical,High,High,Thursday,2025-04-10T04:25:51.000000,2025-04-10T04:50:51.000000,2025-04-10T06:02:21.294763,2025-04-10T07:21:21.294763,1.1916666666666667,0.4166666666666667,2.925
ERR-2025-03302,Duplicate payment entry not caught before submission,Basic Payment,STP CAT,DC,Aquaman,Closed,Medium,Medium,Medium,Tuesday,2025-04-22T12:46:18.000000,2025-04-22T13:58:18.000000,2025-04-23T10:34:28.975373,2025-04-23T11:29:28.975373,20.602777777777778,1.2,22.719444444444445
ERR-2025-03303,SEPA file submitted with incorrect execution date,SEPA Payment,STP CAT,DC,Aquaman,Closed,High,High,High,Wednesday,2025-04-30T10:01:39.000000,2025-04-30T10:19:39.000000,2025-04-30T12:58:53.486640,2025-04-30T13:26:53.486640,2.653888888888889,0.3,3.4205555555555556
ERR-2025-03304,Wrong debtor account used in SEPA Direct Debit collection,SEPA Payment,Stargate,DC,Batman,In Progress,Medium,Low,Medium,Thursday,2025-04-17T17:18:45.000000,2025-04-17T18:06:45.000000,,,,0.8,
ERR-2025-03305,Wrong debtor account used in SEPA Direct Debit collection,SEPA Payment,Stargate,DC,Batman,Closed,High,High,Medium,Friday,2025-04-11T10:15:28.000000,2025-04-11T10:41:28.000000,2025-04-11T16:28:12.880522,2025-04-11T17:21:12.880522,5.778888888888889,0.43333333333333335,7.095555555555555
ERR-2025-03306,Standing order set up with wrong payment amount,Domestic Payment,STP CAT,DC,Aquaman,Closed,High,High,Medium,Wednesday,2025-04-23T11:29:31.000000,2025-04-23T12:29:31.000000,2025-04-23T18:10:53.559763,2025-04-23T19:03:53.559763,5.689444444444445,1.0,7.572777777777778
ERR-2025-03307,Wrong currency applied to domestic GBP payment,Domestic Payment,STP CAT,DC,Batman,Closed,Medium,Medium,Medium,Wednesday,2025-04-02T07:16:27.000000,2025-04-02T08:03:27.000000,2025-04-02T20:19:53.163299,2025-04-02T20:38:53.163299,12.273888888888889,0.7833333333333333,13.373888888888889
ERR-2025-03308,SEPA payment amount keyed incorrectly - underpayment to supplier,SEPA Payment,STP CAT,DC,Dr. X,Closed,Medium,Medium,Medium,Thursday,2025-04-10T17:45:34.000000,2025-04-10T18:28:34.000000,2025-04-11T02:31:33.148370,2025-04-11T03:11:33.148370,8.049722222222222,0.7166666666666667,9.433055555555555
ERR-2025-03309,Payment sent without required second authorisation,Domestic Payment,STP CAT,DC,Dr. X,Closed,Medium,Low,Medium,Sunday,2025-04-13T13:17:15.000000,2025-04-13T13:37:15.000000,2025-04-14T13:17:58.836823,2025-04-14T14:08:58.836823,23.67861111111111,0.3333333333333333,24.861944444444443
ERR-2025-03310,SEPA payment sent to closed account - return not processed timely,SEPA Payment,STP CAT,DC,Batman,Closed,Low,Low,Low,Tuesday,2025-04-22T12:34:30.000000,2025-04-22T13:57:30.000000,2025-04-24T00:46:51.560942,2025-04-24T01:51:51.560942,34.8225,1.3833333333333333,37.28916666666667
ERR-2025-03311,Reversal not processed after customer cancellation request,Domestic Payment,STP CAT,DC,Dr. X,Closed,High,High,High,Tuesday,2025-04-01T15:14:31.000000,2025-04-01T15:49:31.000000,2025-04-01T20:44:56.740023,2025-04-01T22:01:56.740023,4.923611111111111,0.5833333333333334,6.790277777777778
ERR-2025-03312,Manual override applied in Edit Q without supervisor sign-off,Edit Q,STP CAT,DC,Dr. X,Closed,High,High,Medium,Friday,2025-04-18T16:11:20.000000,2025-04-18T16:26:20.000000,2025-04-18T20:41:36.149940,2025-04-18T21:44:36.149940,4.254444444444444,0.25,5.554444444444444
ERR-2025-03313,Edit Queue item approved without verifying beneficiary details,Edit Q,SOLEMOS,DC,Dr. X,New,Medium,Low,Medium,Thursday,2025-04-10T15:24:01.000000,,,,,,
ERR-2025-03314,Payment instruction processed without customer authorisation,Basic Payment,STP CAT,DC,Aquaman,Closed,High,High,High,Monday,2025-04-21T18:18:00.000000,2025-04-21T19:24:00.000000,2025-04-21T22:49:26.283312,2025-04-21T23:50:26.283312,3.423888888888889,1.1,5.540555555555556
ERR-2025-03315,Mandate reference missing from SEPA Direct Debit submission,SEPA Payment,Stargate,DC,Dr. X,Closed,High,Medium,Medium,Thursday,2025-04-24T09:26:31.000000,2025-04-24T10:46:31.000000,2025-04-24T14:56:00.947528,2025-04-24T15:57:00.947528,4.158055555555555,1.3333333333333333,6.508055555555556
ERR-2025-03316,Incorrect currency conversion applied to basic payment,Basic Payment,STP CAT,DC,Batman,Closed,Critical,High,High,Wednesday,2025-04-02T16:51:20.000000,2025-04-02T18:01:20.000000,2025-04-02T20:35:20.205532,2025-04-02T21:18:20.205532,2.566666666666667,1.1666666666666667,4.45
ERR-2025-03317,Incorrect account number used - funds credited to wrong customer,Domestic Payment,STP CAT,DC,Punisher,On Hold,Medium,Low,Medium,Tuesday,2025-04-22T10:51:24.000000,,,,,,
ERR-2025-03318,Incorrect account number used - funds credited to wrong customer,Domestic Payment,STP CAT,DC,Dr. X,Closed,Medium,Medium,Medium,Monday,2025-04-14T17:05:34.000000,2025-04-14T18:26:34.000000,2025-04-15T04:51:00.913214,2025-04-15T06:14:00.913214,10.407222222222222,1.35,13.140555555555556
ERR-2025-03319,SEPA batch submitted after cut-off - delayed by one business day,SEPA Payment,Stargate,DC,Batman,Closed,High,Medium,Medium,Friday,2025-04-18T15:29:20.000000,2025-04-18T16:54:20.000000,2025-04-18T22:14:43.431726,2025-04-18T23:18:43.431726,5.339722222222222,1.4166666666666667,7.823055555555555
ERR-2025-03320,Wrong currency applied to domestic GBP payment,Domestic Payment,STP CAT,DC,Dr. X,In Progress,Medium,Low,Medium,Thursday,2025-04-17T08:31:41.000000,2025-04-17T09:30:41.000000,,,,0.9833333333333333,
ERR-2025-03321,Payment dispatched to sanctioned entity - compliance breach,International Transfer,Stargate,DC,Aquaman,Closed,Critical,Medium,High,Thursday,2025-04-17T02:28:38.000000,2025-04-17T03:50:38.000000,2025-04-17T04:35:15.192832,2025-04-17T06:04:15.192832,0.7436111111111111,1.3666666666666667,3.593611111111111
ERR-2025-03322,Payment posted to wrong GL account - reconciliation discrepancy,Basic Payment,STP CAT,DC,Dr. X,Closed,High,Medium,Low,Tuesday,2025-04-29T10:28:36.000000,2025-04-29T11:21:36.000000,2025-04-29T15:44:07.208644,2025-04-29T17:10:07.208644,4.375277777777778,0.8833333333333333,6.691944444444444
ERR-2025-03323,Domestic payment submitted twice - duplicate detected post-settlement,Domestic Payment,STP CAT,DC,Dr. X,Closed,Critical,High,High,Tuesday,2025-04-01T09:48:34.000000,2025-04-01T10:01:34.000000,2025-04-01T10:55:57.374908,2025-04-01T11:21:57.374908,0.9063888888888889,0.21666666666666667,1.5563888888888888
ERR-2025-03324,Edit Queue item released without required dual authorisation,Edit Q,SOLEMOS,DC,Batman,Closed,Medium,Medium,Medium,Friday,2025-04-18T11:22:36.000000,2025-04-18T12:16:36.000000,2025-04-19T01:16:30.917118,2025-04-19T02:22:30.917118,12.998333333333333,0.9,14.998333333333333
ERR-2025-03325,Reversal not processed after customer cancellation request,Domestic Payment,STP CAT,DC,Aquaman,Closed,Medium,Medium,Medium,Thursday,2025-04-17T13:35:54.000000,2025-04-17T14:52:54.000000,2025-04-17T23:24:38.722784,2025-04-18T00:34:38.722784,8.528888888888888,1.2833333333333334,10.97888888888889
ERR-2025-03326,Payment posted to wrong GL account - reconciliation discrepancy,Basic Payment,STP CAT,DC,Batman,Closed,Medium,Medium,Low,Tuesday,2025-04-08T23:17:50.000000,2025-04-08T23:45:50.000000,2025-04-09T19:41:00.081063,2025-04-09T20:20:00.081063,19.919444444444444,0.4666666666666667,21.03611111111111
ERR-2025-03327,Wrong debtor account used in SEPA Direct Debit collection,SEPA Payment,Stargate,DC,Punisher,Closed,High,High,High,Thursday,2025-04-03T17:36:10.000000,2025-04-03T18:10:10.000000,2025-04-03T21:18:15.085962,2025-04-03T22:36:15.085962,3.1347222222222224,0.5666666666666667,5.001388888888889
ERR-2025-03328,Wrong debtor account used in SEPA Direct Debit collection,SEPA Payment,STP CAT,DC,Batman,Closed,Critical,High,Medium,Wednesday,2025-04-23T10:36:19.000000,2025-04-23T12:05:19.000000,2025-04-23T14:45:31.272014,2025-04-23T15:11:31.272014,2.67,1.4833333333333334,4.586666666666667
ERR-2025-03329,Edit Q item closed without resolution - payment lost in queue,Edit Q,SOLEMOS,DC,Batman,Closed,High,High,Medium,Monday,2025-04-28T10:19:28.000000,2025-04-28T11:43:28.000000,2025-04-28T16:10:09.657527,2025-04-28T17:04:09.657527,4.4447222222222225,1.4,6.744722222222222
ERR-2025-03330,Payment dispatched to sanctioned entity - compliance breach,International Transfer,Stargate,DC,Aquaman,Closed,Critical,High,High,Friday,2025-04-04T08:26:47.000000,2025-04-04T09:30:47.000000,2025-04-04T11:07:03.292283,2025-04-04T12:17:03.292283,1.6044444444444443,1.0666666666666667,3.8377777777777777
ERR-2025-03331,SEPA file submitted with incorrect execution date,SEPA Payment,STP CAT,DC,Punisher,Closed,High,High,High,Tuesday,2025-04-15T22:22:55.000000,2025-04-15T22:49:55.000000,2025-04-16T04:49:07.160522,2025-04-16T05:05:07.160522,5.986666666666666,0.45,6.703333333333333
ERR-2025-03332,Domestic transfer sent to dormant account - return not monitored,Domestic Payment,STP CAT,DC,Dr. X,Closed,Medium,Low,Medium,Tuesday,2025-04-01T11:18:36.000000,2025-04-01T12:09:36.000000,2025-04-01T19:02:03.004633,2025-04-01T20:07:03.004633,6.8741666666666665,0.85,8.8075
ERR-2025-03333,Wrong sort code entered - domestic payment routed to wrong bank,Domestic Payment,STP CAT,DC,Batman,New,High,High,Medium,Thursday,2025-04-03T09:03:59.000000,,,,,,
ERR-2025-03334,Edit Q item duplicated after system timeout during save,Edit Q,SOLEMOS,DC,Dr. X,Closed,High,High,High,Monday,2025-04-28T22:03:55.000000,2025-04-28T23:16:55.000000,2025-04-29T02:08:41.318048,2025-04-29T03:06:41.318048,2.8627777777777776,1.2166666666666666,5.046111111111111
ERR-2025-03335,Payment limit exceeded due to manual override without approval,Domestic Payment,STP CAT,DC,Batman,Closed,Medium,Medium,Medium,Saturday,2025-04-12T02:26:43.000000,2025-04-12T02:50:43.000000,2025-04-12T10:37:40.567338,2025-04-12T11:20:40.567338,7.7825,0.4,8.899166666666666
ERR-2025-03336,Batch domestic file contained incorrect beneficiary account details,Domestic Payment,STP CAT,DC,Dr. X,Closed,Medium,Medium,Medium,Sunday,2025-04-13T04:34:40.000000,2025-04-13T06:01:40.000000,2025-04-13T14:10:39.266183,2025-04-13T14:32:39.266183,8.149722222222222,1.45,9.966388888888888
ERR-2025-03337,Duplicate payment entry not caught before submission,Basic Payment,STP CAT,DC,Punisher,Closed,Medium,Low,Medium,Wednesday,2025-04-02T10:36:45.000000,2025-04-02T11:51:45.000000,2025-04-03T04:41:46.129315,2025-04-03T05:57:46.129315,16.83361111111111,1.25,19.350277777777777
ERR-2025-03338,SEPA file submitted with incorrect execution date,SEPA Payment,Stargate,DC,Dr. X,On Hold,High,High,High,Thursday,2025-04-10T09:32:09.000000,,,,,,
ERR-2025-03339,SEPA batch submitted after cut-off - delayed by one business day,SEPA Payment,STP CAT,DC,Dr. X,Closed,Critical,High,High,Monday,2025-04-07T13:29:11.000000,2025-04-07T14:26:11.000000,2025-04-07T16:29:52.239963,2025-04-07T17:34:52.239963,2.0613888888888887,0.95,4.094722222222222
ERR-2025-03340,Basic payment keyed with transposed digits in account number,Basic Payment,STP CAT,DC,Batman,Closed,Medium,Low,Medium,Wednesday,2025-04-02T01:14:36.000000,2025-04-02T02:34:36.000000,2025-04-02T15:40:45.251968,2025-04-02T16:27:45.251968,13.1025,1.3333333333333333,15.219166666666666
ERR-2025-03341,Reversal not processed after customer cancellation request,Domestic Payment,STP CAT,DC,Aquaman,In Progress,Medium,Medium,Medium,Tuesday,2025-04-29T21:05:55.000000,2025-04-29T21:58:55.000000,,,,0.8833333333333333,
ERR-2025-03342,Standing order set up with wrong payment amount,Domestic Payment,STP CAT,DC,Dr. X,Closed,High,High,High,Thursday,2025-04-03T10:09:36.000000,2025-04-03T10:58:36.000000,2025-04-03T15:30:22.422427,2025-04-03T16:53:22.422427,4.529444444444445,0.8166666666666667,6.729444444444445
ERR-2025-03343,Incorrect payee reference causing failure to match invoice,Domestic Payment,STP CAT,DC,Aquaman,Closed,Critical,High,High,Tuesday,2025-04-15T17:17:06.000000,2025-04-15T17:32:06.000000,2025-04-15T18:34:07.655912,2025-04-15T19:03:07.655912,1.033611111111111,0.25,1.7669444444444444
ERR-2025-03344,Standing order set up with wrong payment amount,Domestic Payment,STP CAT,DC,Dr. X,Closed,High,High,Medium,Friday,2025-04-25T16:07:22.000000,2025-04-25T17:37:22.000000,2025-04-25T23:05:22.648910,2025-04-25T23:31:22.648910,5.466666666666667,1.5,7.4
ERR-2025-03345,Wrong IBAN entered in bulk SEPA file - batch partially rejected,SEPA Payment,Stargate,DC,Batman,Closed,High,High,High,Monday,2025-04-28T05:10:28.000000,2025-04-28T06:17:28.000000,2025-04-28T08:44:08.284209,2025-04-28T10:10:08.284209,2.4444444444444446,1.1166666666666667,4.9944444444444445
ERR-2025-03346,Wrong sort code entered - domestic payment routed to wrong bank,Domestic Payment,STP CAT,DC,Punisher,Closed,High,High,High,Friday,2025-04-18T07:47:08.000000,2025-04-18T08:14:08.000000,2025-04-18T13:21:26.869849,2025-04-18T14:08:26.869849,5.121666666666667,0.45,6.355
ERR-2025-03347,Wrong debtor account used in SEPA Direct Debit collection,SEPA Payment,STP CAT,DC,Batman,Closed,Critical,High,High,Thursday,2025-04-10T10:23:10.000000,2025-04-10T10:35:10.000000,2025-04-10T11:32:08.603357,2025-04-10T12:12:08.603357,0.9494444444444444,0.2,1.816111111111111
ERR-2025-03348,Wrong sort code entered - domestic payment routed to wrong bank,Domestic Payment,STP CAT,DC,Dr. X,Closed,High,High,Medium,Friday,2025-04-25T08:43:32.000000,2025-04-25T10:06:32.000000,2025-04-25T16:00:33.285746,2025-04-25T16:28:33.285746,5.900277777777778,1.3833333333333333,7.750277777777778
ERR-2025-03349,Incorrect amount entered - customer overcharged,Basic Payment,STP CAT,DC,Batman,Closed,Low,Low,Low,Friday,2025-04-18T14:59:35.000000,2025-04-18T16:25:35.000000,2025-04-20T00:01:52.764132,2025-04-20T01:21:52.764132,31.60472222222222,1.4333333333333333,34.37138888888889
ERR-2025-03350,Wrong fee applied to basic payment transaction,Basic Payment,STP CAT,DC,Dr. X,Closed,High,High,High,Wednesday,2025-04-09T11:29:45.000000,2025-04-09T12:44:45.000000,2025-04-09T16:57:40.042309,2025-04-09T17:28:40.042309,4.215277777777778,1.25,5.981944444444444
ERR-2025-03351,Incorrect correspondent bank selected for USD settlement,International Transfer,Stargate,DC,Batman,Closed,Medium,Low,Medium,Monday,2025-04-14T16:18:37.000000,2025-04-14T17:47:37.000000,2025-04-15T17:13:26.325659,2025-04-15T18:13:26.325659,23.43027777777778,1.4833333333333334,25.913611111111113
ERR-2025-03352,Wrong currency applied to domestic GBP payment,Domestic Payment,STP CAT,DC,Dr. X,Closed,Medium,Medium,Medium,Thursday,2025-04-24T08:03:16.000000,2025-04-24T09:20:16.000000,2025-04-24T18:31:17.034490,2025-04-24T19:02:17.034490,9.18361111111111,1.2833333333333334,10.983611111111111
ERR-2025-03353,Duplicate SEPA batch uploaded - double payments issued to beneficiaries,SEPA Payment,Stargate,DC,Punisher,Closed,Critical,High,High,Wednesday,2025-04-23T08:46:37.000000,2025-04-23T09:07:37.000000,2025-04-23T09:36:41.504567,2025-04-23T10:59:41.504567,0.48444444444444446,0.35,2.2177777777777776
ERR-2025-03354,Transaction limit breach not flagged during processing,Basic Payment,STP CAT,DC,Punisher,Closed,Critical,High,High,Monday,2025-04-21T03:08:09.000000,2025-04-21T04:29:09.000000,2025-04-21T06:16:19.394169,2025-04-21T06:54:19.394169,1.7861111111111112,1.35,3.7694444444444444
ERR-2025-03355,Domestic transfer sent to dormant account - return not monitored,Domestic Payment,STP CAT,DC,Batman,Closed,Medium,Medium,Medium,Sunday,2025-04-13T09:13:39.000000,2025-04-13T09:26:39.000000,2025-04-14T09:05:50.030138,2025-04-14T09:43:50.030138,23.653055555555557,0.21666666666666667,24.503055555555555
ERR-2025-03356,Operator amended wrong field in Edit Queue - further error introduced,Edit Q,SOLEMOS,DC,Dr. X,Closed,Medium,Medium,Medium,Friday,2025-04-25T13:02:03.000000,2025-04-25T13:41:03.000000,2025-04-26T07:54:50.360373,2025-04-26T09:16:50.360373,18.22972222222222,0.65,20.246388888888887
ERR-2025-03357,Rate effective date set incorrectly - wrong rate applied to batch,Rates,SOLEMOS,DC,Batman,In Progress,Medium,Low,Medium,Wednesday,2025-04-02T03:38:58.000000,2025-04-02T04:37:58.000000,,,,0.9833333333333333,
ERR-2025-03358,SEPA recall issued too late - funds already credited and withdrawn,SEPA Payment,STP CAT,DC,Batman,Closed,High,High,High,Friday,2025-04-18T12:26:31.000000,2025-04-18T12:37:31.000000,2025-04-18T15:26:27.261191,2025-04-18T16:17:27.261191,2.8155555555555556,0.18333333333333332,3.848888888888889
ERR-2025-03359,Wrong debtor account used in SEPA Direct Debit collection,SEPA Payment,Stargate,DC,Dr. X,Closed,High,High,High,Tuesday,2025-04-01T08:14:49.000000,2025-04-01T08:42:49.000000,2025-04-01T11:02:56.418952,2025-04-01T11:22:56.418952,2.335277777777778,0.4666666666666667,3.1352777777777776
ERR-2025-03360,Wrong FX rate applied to customer transaction - financial loss,Rates,SOLEMOS,DC,Dr. X,Closed,High,Medium,Medium,Tuesday,2025-04-15T11:38:31.000000,2025-04-15T12:38:31.000000,2025-04-15T15:46:07.011415,2025-04-15T16:56:07.011415,3.1266666666666665,1.0,5.293333333333333
ERR-2025-03361,Wrong fee applied to basic payment transaction,Basic Payment,STP CAT,DC,Punisher,Closed,High,High,Medium,Wednesday,2025-04-09T15:02:26.000000,2025-04-09T16:11:26.000000,2025-04-09T21:09:41.785142,2025-04-09T22:20:41.785142,4.970833333333333,1.15,7.304166666666666
ERR-2025-03362,Payment instruction processed without customer authorisation,Basic Payment,STP CAT,DC,Dr. X,Closed,Low,Low,Low,Tuesday,2025-04-01T14:41:09.000000,2025-04-01T15:59:09.000000,2025-04-02T22:32:00.910582,2025-04-03T00:01:00.910582,30.5475,1.3,33.33083333333333
ERR-2025-03363,Wrong sort code entered - domestic payment routed to wrong bank,Domestic Payment,STP CAT,DC,Aquaman,Closed,Medium,Low,Medium,Friday,2025-04-04T10:49:11.000000,2025-04-04T11:44:11.000000,2025-04-05T01:48:36.537319,2025-04-05T02:26:36.537319,14.073611111111111,0.9166666666666666,15.623611111111112
